award_id,numero_ingreso,ano,concurso_id,concurso,fecha_presentacion,tipo_concurso,objetivo_manejo,literal,region_num,region,puntaje,superficie_ha,presenter_type,monto_total_utm,monto_actividades_utm,monto_ordenacion_utm,aporte_propietario_utm,monto_asesoria_utm,monto_asistencia_tecnica_utm,monto_elaboracion_plan_utm,monto_informe_ejecucion_utm,tiene_plan_saff,tiene_bonificacion_saff,numero_bonos
1249829,052/2018,2018,1248949,Primer Concurso 2018,2018-02-28,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,56.58,2.5,Consultor,28.76,28.76,0.0,0.0,,,,,1,Si,1.0
1257922,486/2018,2018,1248949,Primer Concurso 2018,2018-05-14,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,51.86,2.68,Personal Fomento Conaf,24.25,24.25,0.0,0.0,,,,,,Si,
1529422,1201/2025,2025,1505353,"Primer Concurso 2025 Fondo de Conservación, Ley 20.283",2025-07-18,Otros Interesados,PRODUCCION MADERERA,C,6,O'Higgins,61.38,25.0,Extensionista,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0
1528323,1093/2025,2025,1505353,"Primer Concurso 2025 Fondo de Conservación, Ley 20.283",2025-07-17,Otros Interesados,PRODUCCION MADERERA,C,13,Metropolitana,50.38,30.0,Consultor,462.0,300.0,0.0,0.0,162.0,85.5,45.0,31.5,,,
1519166,559/2025,2025,1505353,"Primer Concurso 2025 Fondo de Conservación, Ley 20.283",2025-06-25,Pequeños Propietarios,PRODUCCION NO MADERERA,B,9,La Araucanía,51.07,2.6,Extensionista,14.95,14.95,0.0,9.46,0.0,0.0,0.0,0.0,,,
1264096,1001/2018,2018,1248949,Primer Concurso 2018,2018-05-28,Otros Interesados,PRODUCCION MADERERA,C,7,Maule,48.01,100.0,Otros,862.0,862.0,0.0,107.0,,,,,,Si,
1509795,203/2025,2025,1505353,"Primer Concurso 2025 Fondo de Conservación, Ley 20.283",2025-05-06,Pequeños Propietarios,PRODUCCION NO MADERERA,B,11,Aysén,48.97,1.87,Extensionista,10.75,10.75,0.0,1.06,0.0,0.0,0.0,0.0,,,
1527280,1001/2025,2025,1505353,"Primer Concurso 2025 Fondo de Conservación, Ley 20.283",2025-07-17,Pequeños Propietarios,PRODUCCION MADERERA,C,7,Maule,40.27,1.5,Extensionista,17.25,17.25,0.0,0.0,0.0,0.0,0.0,0.0,,,
1525838,879/2025,2025,1505353,"Primer Concurso 2025 Fondo de Conservación, Ley 20.283",2025-07-15,Pequeños Propietarios,PRODUCCION MADERERA,C,7,Maule,33.57,4.0,Extensionista,45.16,45.16,0.0,0.0,0.0,0.0,0.0,0.0,,,
1528589,1112/2025,2025,1505353,"Primer Concurso 2025 Fondo de Conservación, Ley 20.283",2025-07-18,Pequeños Propietarios,PRODUCCION MADERERA,C,6,O'Higgins,33.1,6.1,Extensionista,70.1,70.1,0.0,0.0,0.0,0.0,0.0,0.0,,,
1520069,595/2025,2025,1505353,"Primer Concurso 2025 Fondo de Conservación, Ley 20.283",2025-06-26,Pequeños Propietarios,PRODUCCION MADERERA,C,6,O'Higgins,37.47,20.0,Extensionista,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1529873,1230/2025,2025,1505353,"Primer Concurso 2025 Fondo de Conservación, Ley 20.283",2025-07-18,Pequeños Propietarios,PRODUCCION NO MADERERA,B,11,Aysén,42.62,5.0,Extensionista,28.75,28.75,0.0,4.18,0.0,0.0,0.0,0.0,,,
