concurso,programa,region,provincia,area_comuna,codigo_pm,instrument_type,amount_clp,amount_currency,status,status_as_of,gpc_sector,climate_relevance,source_url
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412733,grant (incentivo),673854,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412504,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412638,grant (incentivo),339783,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,411736,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412416,grant (incentivo),776815,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412492,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412291,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412542,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412598,grant (incentivo),3543882,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412730,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412634,grant (incentivo),483522,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412564,grant (incentivo),3538544,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412845,grant (incentivo),1324040,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
