action_id,action_name,sector,subsector,implementing_agent,intervention_type,matched_opportunity_count,avg_match_score_100,top3_avg_score_100,high_fit_count,fundability_score_100,fundability_band_relative,fundability_band_absolute,fundability_band,top_opportunity_ids
ipcc_0062,Create partnerships to implement biochar plants.,afolu,V.2,utility_or_energy_operator,program,200,89.95,100.00,198,95.96,high,high,high,ODEPA_AGRI_013|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FOSIS_SUBDERE|FORT_CENTROS_ANID
ipcc_0068,Pilot Bioenergy with Carbon Capture in Partnership with Utilities/Industry.,afolu,V.2,utility_or_energy_operator,program,200,89.95,100.00,198,95.96,high,high,high,ODEPA_AGRI_013|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FOSIS_SUBDERE|FORT_CENTROS_ANID
icare_0132,Encourage Local Agroecological Production and Short Supply Chains,stationary_energy,I.5,utility_or_energy_operator,program,219,88.25,100.00,217,95.48,high,high,high,ODEPA_AGRI_013|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026|FOSIS_SUBDERE
icare_0027,Create financing programs for local renewable energy projects,stationary_energy,I.4,land_sector_actors,financial,211,89.01,100.00,209,95.36,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
ipcc_0055,"Implement fire management in forests, grasslands, and savannas",afolu,V.2,land_sector_actors,infrastructure,185,89.93,100.00,176,94.89,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|ESPACIOS_PUBLICOS_MINVU_2026
c40_0071,Promote the phase out the reliance on fossil fuels for cooking (in favour of high-efficiency electric cookstoves such as induction stoves).,stationary_energy,I.6,municipal_government,program,176,87.09,100.00,172,93.98,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0002,Promote and expand the use of the Brazilian Energy Labeling Program for Buildings,stationary_energy,I.1,municipal_government,program,176,87.09,100.00,172,93.98,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0010,Promote Net-Zero and Green Building Certifications,stationary_energy,I.1,municipal_government,program,176,87.09,100.00,172,93.98,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0016,"Promote solar thermal and heat pump systems for water heating in residential, commercial, and public buildings",stationary_energy,I.1,municipal_government,program,176,87.09,100.00,172,93.98,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0025,Promote energy-efficient and climate-resilient housing for low-income and informal settlements,stationary_energy,I.1,municipal_government,program,176,87.09,100.00,172,93.98,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0026,Implement time-of-use electricity tariffs to enhance demand-side flexibility and efficiency,stationary_energy,I.4,municipal_government,financial,176,87.09,100.00,172,93.98,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",stationary_energy,I.5,municipal_government,program,176,87.09,100.00,172,93.98,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
ipcc_0052,Reduce Deforestation and Degradation,afolu,V.2,land_sector_actors,,185,83.00,90.91,176,93.96,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|ESPACIOS_PUBLICOS_MINVU_2026
ipcc_0054,Adopt sustainable forest management practices,afolu,V.2,land_sector_actors,,185,83.00,90.91,176,93.96,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|ESPACIOS_PUBLICOS_MINVU_2026
ipcc_0064,Reduce methane emissions from enteric fermentation in livestock,afolu,V.1,land_sector_actors,,185,83.00,90.91,176,93.96,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|ESPACIOS_PUBLICOS_MINVU_2026
icare_0105,Reduce technical losses in energy distribution networks,stationary_energy,I.4,utility_or_energy_operator,,219,79.16,90.91,208,93.72,high,high,high,ODEPA_AGRI_013|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026|FOSIS_SUBDERE
icare_0033,Install biodigesters in rural properties,stationary_energy,I.5,land_sector_actors,infrastructure,211,86.04,100.00,191,93.66,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0069,Complete ecological and agroclimatic mapping,stationary_energy,I.5,land_sector_actors,planning,211,86.04,100.00,191,93.66,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0023,Upgrade and maintain electrical substations,stationary_energy,I.4,utility_or_energy_operator,infrastructure,219,85.26,100.00,197,93.65,high,high,high,ODEPA_AGRI_013|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026|FOSIS_SUBDERE
icare_0128,Establish Municipal Programs for Payment for Environmental Services and other ecological financial incentives,afolu,V.2,municipal_government,financial,138,92.16,100.00,135,93.06,high,high,high,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|ESPACIOS_PUBLICOS_MINVU_2026
ipcc_0069,Promote sustainable and healthy diets,afolu,V.1,municipal_government,program,138,92.16,100.00,135,93.06,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|ESPACIOS_PUBLICOS_MINVU_2026
c40_0010,Introduce energy-efficiency standards for new residential buildings,stationary_energy,I.1,municipal_government,regulatory,176,84.61,100.00,161,92.73,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
c40_0012,Introduce energy-efficiency standards for new institutional buildings,stationary_energy,I.2,municipal_government,regulatory,176,84.61,100.00,161,92.73,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,stationary_energy,I.3,municipal_government,regulatory,176,84.61,100.00,161,92.73,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0006,Develop integrated renewable energy planning and solar–battery microgrids for rural and peri-urban areas,stationary_energy,I.4,municipal_government,planning,176,84.61,100.00,161,92.73,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0028,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings",stationary_energy,I.1,municipal_government,regulatory,176,84.61,100.00,161,92.73,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0120,"Implement energy efficiency criteria and indicators in the procurement of goods, services, or works by the municipal public administration.",stationary_energy,I.6,municipal_government,regulatory,176,84.61,100.00,161,92.73,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0131,Prioritize Procurement of Locally Produced Agroecological Products in Public Purchases,stationary_energy,I.5,municipal_government,regulatory,176,84.61,100.00,161,92.73,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
ipcc_0074,Promote compact urban form through spatial planning,stationary_energy,I.2,municipal_government,planning,176,84.61,100.00,161,92.73,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
c40_0042,Expand urban and peri-urban green spaces,afolu,V.2,municipal_government,infrastructure,138,89.79,100.00,132,92.62,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|ESPACIOS_PUBLICOS_MINVU_2026
icare_0122,Establish eco-parks.,afolu,V.2,municipal_government,infrastructure,138,89.79,100.00,132,92.62,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|ESPACIOS_PUBLICOS_MINVU_2026
ipcc_0053,"Implement afforestation, reforestation, and forest ecosystem restoration",afolu,V.2,municipal_government,infrastructure,138,89.79,100.00,132,92.62,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|ESPACIOS_PUBLICOS_MINVU_2026
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,stationary_energy,I.3,private_sector_industry,regulatory,202,81.68,100.00,173,92.55,medium,high,medium,ODEPA_AGRI_013|FPA_MMA_LINEA_COMUNITARIA_2026|FOSIS_SUBDERE|PTI_CORFO|FONCAP_SENCE
icare_0009,Deploy cogeneration systems in industries,stationary_energy,I.3,private_sector_industry,infrastructure,202,81.86,100.00,173,92.55,medium,high,medium,ODEPA_AGRI_013|FPA_MMA_LINEA_COMUNITARIA_2026|FOSIS_SUBDERE|PTI_CORFO|CREDITO_VERDE_CORFO
icare_0035,Enhance industrial energy efficiency processes,stationary_energy,I.3,private_sector_industry,infrastructure,202,81.86,100.00,173,92.55,medium,high,medium,ODEPA_AGRI_013|FPA_MMA_LINEA_COMUNITARIA_2026|FOSIS_SUBDERE|PTI_CORFO|CREDITO_VERDE_CORFO
icare_0050,Accelerate the adoption of Agroforestry',stationary_energy,I.5,land_sector_actors,,211,79.92,90.91,189,92.53,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
icare_0099,Increase local participation in Agroecological Certification Programmes,stationary_energy,I.5,land_sector_actors,,211,79.92,90.91,189,92.53,medium,high,medium,ODEPA_AGRI_013|PMU_SUBDERE_2026|PMB_SUBDERE_2026|FPA_MMA_LINEA_COMUNITARIA_2026|FAE_MINENERGIA_2026
