,Territory_code,Policy name,Type of Policy,Governance,Scale,Scale level_code,Region_code,Communal_Code,Sector_code,link
,1_00_00,Estrategia Climática de Largo Plazo,Climate Change Instruments,Ministerio del Medio Ambiente,National,1,_00,_00,,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2021/11/ECLP-LIVIANO.pdf
,1_00_00,Plan de Mitigación Sector Energía,Climate Change Instruments,Ministerio de Energía,National,1,_00,_00,,https://energia.gob.cl/sites/default/files/documentos/proyecto_definitivo_plan_sectorial_energia_13_dic.pdf
,1_00_00,Plan de Mitigación Sector Ciudades,Climate Change Instruments,Ministerio de Vivienda y Urbanismo,National,1,_00,_00,,https://www.minvu.gob.cl/wp-content/uploads/2025/11/3694-3970-Proyecto-definitivo-APROBADO-por-el-CMSyCC-actualmente-en-Toma-de-Razon.pdf
,1_00_00,Plan de Mitigación Sector Infraestructura,Climate Change Instruments,Ministerio de Obras Públicas,National,1,_00,_00,,https://cambioclimatico.mop.gob.cl/archivos/sites/2/2025/05/Plan-de-Cambio-Climatico-Sector-Infraestructura-2025_web.pdf
,1_00_00,Plan de Mitigación Sector Minería,Climate Change Instruments,Ministerio de Mineria,National,1,_00,_00,,https://minmineria.sharepoint.com/Shared%20Documents/Forms/AllItems.aspx?id=%2FShared%20Documents%2FParticipaci%C3%B3n%20Ciudadana%2FCambio%20Clim%C3%A1tico%2FAnteproyecto%2FAnteproyecto%20PSCC%20Miner%C3%ADa%20%2D%20Final%2D2%2Epdf&parent=%2FShared%20Documents%2FParticipaci%C3%B3n%20Ciudadana%2FCambio%20Clim%C3%A1tico%2FAnteproyecto&p=true&ga=1
,1_00_00,Plan de Mitigación Sector Transporte,Climate Change Instruments,Ministerio de Transportes y Telecomunicaciones,National,1,_00,_00,,https://movilidadactiva.sectra.gob.cl/wp-content/uploads/2025/02/Plan-SMACC_FINAL-2025_BP.pdf
,1_00_00,Plan de Mitigación Sector Agricultura,Climate Change Instruments,Ministerio de Agricultura,National,1,_00,_00,,https://bibliotecadigital.odepa.gob.cl/bitstream/handle/20.500.12650/74030/PlanSectorialdeMitigacionalCambioClimatico-ago24.pdf
,1_00_00,Plan de Mitigación Sector Salud,Climate Change Instruments,Ministerio de Salud,National,1,_00,_00,,https://degreyd.minsal.cl/wp-content/uploads/2024/11/51_Ord_3102_15_NOV_24_Env%C3%ADa_ProyectoDefinitivo_PSM-MINSAL.pdf
,1_00_00,National Determined Contributions,Climate Change Instruments ,Ministerio del Medio Ambiente,National,1,_00,_00,,https://cambioclimatico.mma.gob.cl/contribucion-determinada-ndc/descripcion-del-instrumento/
,1_00_00,Política Nacional de Ordenamiento Territorial,Territorial planning instruments,MINVU,National,1,_00,_00,,https://www.siet-chile.cl/wp-content/uploads/2025/09/PNOT_2024_Final-ALTA-comprimido.pdf
,1_00_00,Política Nacional de Desarrollo Urbano,Territorial planning instruments,Interministerial,National,1,_00,_00,,https://www.siet-chile.cl/wp-content/uploads/2025/07/Politica_Nacional_de_Desarrollo_Urbano-1.pdf
,1_00_00,Política Nacional de Desarrollo Rural ,Territorial planning instruments,Interministerial,National,1,_00,_00,,https://www.siet-chile.cl/wp-content/uploads/2025/07/Politica-Nacional-de-Desarrollo-Rural.pdf
,2_06_00,Plan de Acción Regional de Cambio Climático Ohiggins,Climate Change Instruments,GORE,Regional,2,_06,_00,,https://www.minvu.gob.cl/wp-content/uploads/2025/11/501-602-PARCC_OHiggins.pdf
,2_14_00,Plan de Acción Regional de Cambio Climático Los Rios,Climate Change Instruments,GORE,Regional,2,_14,_00,,https://www.minvu.gob.cl/wp-content/uploads/2025/11/603-760-PARCC_los_rios.pdf
,2_03_00,Plan de Acción Regional de Cambio Climático Atacama,Climate Change Instruments,GORE,Regional,2,_03,_00,,https://www.minvu.gob.cl/wp-content/uploads/2025/11/389-500-PARCCC_Atacama.pdf
,2_08_00,Plan de Acción Regional de Cambio Climático Bio-Bio,Climate Change Instruments,GORE,Regional,2,_08,_00,,https://gorebiobio.cl/wp-content/uploads/2025/06/PARCC_v-final.pdf
,2_16_00,Plan de Acción Regional de Cambio Climático Ñuble,Climate Change Instruments,GORE,Regional,2,_16,_00,,https://consultasciudadanas.mma.gob.cl/storage/consultation/3AK1UecXTb6iVGBVxBa9ITF9b7z41uBpoyf04vkr.pdf
,2_01_00,Plan de Acción Regional de Cambio Climático Tarapaca,Climate Change Instruments,GORE,Regional,2,_01,_00,,https://www.goretarapaca.gov.cl/plan-regional-cambio-climatico/#flipbook-df_34392/1/
,2_12_00,Plan de Acción Regional de Cambio Climático Magallanes,Climate Change Instruments,GORE,Regional,2,_12,_00,,https://www.goremagallanes.cl/wp-content/uploads/2024/04/Producto-1-Contexto-Regional-PARCC-Magallanes.pdf
,2_15_00,Plan de Acción Regional de Cambio Climático Arica,Climate Change Instruments,GORE,Regional,2,_15,_00,,https://gorearicayparinacota.gov.cl/images/PARCC/Propuesta_ANTEPARCC_AyP.pdf
,2_09_00,Plan de Acción Regional de Cambio Climático La Araucanía,Climate Change Instruments,GORE,Regional,2,_09,_00,,https://drive.google.com/file/d/1_Tt38WOqaWtxcunKAxL2tk25MqpoIr4-/view
,2_02_00,Plan de Acción Regional de Cambio Climático Antofagasta,Climate Change Instruments,GORE,Regional,2,_02,_00,,https://www.fomentoantofagasta.gob.cl/wp-content/uploads/2025/04/20241216_Proyecto-Final_PARCC_Antofagasta-imagen-borrosa.pdf
,2_04_00,Plan de Acción Regional de Cambio Climático Coquimbo,Climate Change Instruments,GORE,Regional,2,_04,_00,,https://www.gorecoquimbo.cl/PARCC/49.-PARCC_REV_FINAL_2025.pdf
,2_05_00,Plan de Acción Regional de Cambio Climático Valparaiso,Climate Change Instruments,GORE,Regional,2,_05,_00,,In process
,2_13_00,Plan de Acción Regional de Cambio Climático Región Metropólitana,Climate Change Instruments,GORE,Regional,2,_13,_00,,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2025/07/PARCC-RM.pdf
