comuna_cut,municipio,ipp_percibido_mclp,fcm_percibido_mclp,ip_percibido_mclp,ingresos_totales_percibido_mclp,ipp_devengado_mclp,fcm_devengado_mclp,ip_devengado_mclp,ingresos_totales_devengado_mclp,fcm_dependency,fcm_share_total_income,autonomy,fcm_contribution_ratio,operational_autonomy,source_vintage
01101,Iquique,46338018,8560861,54898879,108892277,49349820,8560861,57910681,162580184,0.155939,0.078618,0.844061,0.5193284881041755,1.05887802195541,2026-06-14
01107,Alto Hospicio,8191229,21540651,29731880,36876247,8218140,21540651,29758791,37482521,0.724497,0.584133,0.275503,0.07672980728391171,1.12870376398714,2026-06-14
01401,Pozo Almonte,6802955,5820144,12623099,20133049,7003881,5820144,12824025,22424194,0.461071,0.289084,0.538929,0.14635015903386583,1.29652386836221,2026-06-14
01402,Camiña,37982,2992290,3030272,4606675,38315,2992290,3030605,4608599,0.987466,0.649555,0.012534,0.005217074548255683,1.29664430334303,2026-06-14
01403,Colchane,507777,2484008,2991785,4076487,509752,2484008,2993760,4082151,0.830276,0.60935,0.169724,0.1725336633376382,1.39321856150091,2026-06-14
01404,Huara,1605570,3620135,5225705,7521194,1605570,3620135,5225705,7559729,0.692755,0.481325,0.307245,0.01616155198632095,1.30574399876065,2026-06-14
01405,Pica,5081418,4449568,9530986,11858614,5086317,4449568,9535885,11813192,0.466853,0.375218,0.533147,0.08914281116728635,1.40862078368262,2026-06-14
02101,Antofagasta,65673199,16932422,82605621,149563076,83305763,16932422,100238185,227881735,0.204979,0.113213,0.795021,0.5819976610552229,1.81198923093574,2026-06-14
02102,Mejillones,9134073,3942157,13076230,15054264,9137940,3942157,13080097,15066441,0.301475,0.261863,0.698525,0.1245031590573384,1.28528854102265,2026-06-14
02103,Sierra Gorda,7460821,3228945,10689766,13643946,9439636,3228945,12668581,16179983,0.302059,0.236658,0.697941,0.27786041570853637,1.6064180586381,2026-06-14
02104,Taltal,4637575,3987134,8624709,9920556,4641853,3987134,8628987,10225694,0.462292,0.401906,0.537708,0.10046690178960627,1.98587231549933,2026-06-14
02201,Calama,29132817,19053805,48186622,87264809,30880654,19053805,49934459,93441465,0.395417,0.218345,0.604583,0.2621237070495893,1.49734317151685,2026-06-14
02202,Ollagüe,1046455,2467325,3513780,3969386,1047597,2467325,3514922,4009595,0.702185,0.621589,0.297815,0.06845591885949358,1.03690050620674,2026-06-14
02203,San Pedro de Atacama,5137960,8656110,13794070,19449024,5144948,8656110,13801058,19681518,0.627524,0.445067,0.372476,0.07281053498626981,1.63068495158744,2026-06-14
02301,Tocopilla,3981701,7602802,11584503,13221833,4241216,7602802,11844018,14206035,0.656291,0.575019,0.343709,0.05164411752403916,1.40160526682579,2026-06-14
02302,María Elena,4764907,2913465,7678372,10099872,4764907,2913465,7678372,10127147,0.379438,0.288466,0.620562,0.10885389047062519,1.95076079287801,2026-06-14
