comuna_cut,region_cut,comuna,fcm_dependency_pct_2025,fet_royalty_mineria_mclp_2025,ipp_percapita_mclp_2025,poverty_casen_pct_2025,presup_percapita_mclp_2025,professionalization_pct_2025,staff_contrata_directivo_2025,staff_contrata_profesional_2025,staff_directivo_total_2025,staff_planta_directivo_2025,staff_planta_profesional_2025,staff_profesional_total_2025,staff_total_2025,fcm_dependency_pct_2024,fet_royalty_mineria_mclp_2024,ipp_percapita_mclp_2024,poverty_casen_pct_2024,presup_percapita_mclp_2024,professionalization_pct_2024,staff_contrata_directivo_2024,staff_contrata_profesional_2024,staff_directivo_total_2024,staff_planta_directivo_2024,staff_planta_profesional_2024,staff_profesional_total_2024,staff_total_2024
01101,01,Iquique,15.59,0.0,198.68,7.9,466.89,35.59,0.0,68.0,21.0,21.0,74.0,142.0,399.0,13.64,0.0,204.62,7.89,451.47,37.18,0.0,62.0,12.0,12.0,63.0,125.0,433.0
01107,01,Alto Hospicio,72.45,2026932.0,55.98,15.3,252.0,35.92,0.0,11.0,14.0,14.0,18.0,29.0,142.0,71.17,874202.0,54.33,15.26,240.24,35.53,0.0,11.0,11.0,11.0,19.0,30.0,152.0
01401,01,Pozo Almonte,46.11,450711.0,358.77,15.3,1061.76,28.46,0.0,8.0,11.0,11.0,7.0,15.0,130.0,34.35,193724.0,425.98,15.33,1196.12,29.37,0.0,9.0,8.0,8.0,7.0,16.0,143.0
01402,01,Camiña,98.75,312023.0,27.7,24.0,3360.08,,0.0,3.0,5.0,5.0,5.0,8.0,,94.83,131122.0,103.88,24.04,2563.58,41.38,0.0,2.0,6.0,6.0,3.0,5.0,29.0
01403,01,Colchane,83.03,292233.0,328.45,22.3,2636.8,,,,,,,,,75.33,125248.0,441.09,22.25,3148.67,,,,,,,,
01404,01,Huara,69.28,348412.0,516.09,18.1,2417.61,62.5,0.0,3.0,8.0,8.0,7.0,10.0,32.0,55.91,149311.0,741.1,18.07,2615.72,64.29,0.0,2.0,7.0,7.0,5.0,7.0,28.0
01405,01,Pica,46.69,324850.0,800.48,10.7,1868.09,,,,,,,,,33.36,139441.0,888.9,10.73,1685.16,48.39,0.0,3.0,7.0,7.0,3.0,6.0,31.0
02101,02,Antofagasta,22.97,0.0,179.55,7.2,430.4,38.65,0.0,118.0,23.0,23.0,54.0,172.0,665.0,20.78,0.0,167.31,7.23,397.93,37.4,0.0,83.0,27.0,27.0,41.0,124.0,615.0
02102,02,Mejillones,30.15,352081.0,567.8,7.1,935.83,43.12,0.0,13.0,10.0,10.0,9.0,22.0,109.0,26.6,151195.0,558.66,7.14,869.0,36.97,0.0,13.0,9.0,9.0,7.0,20.0,119.0
02103,02,Sierra Gorda,30.21,285998.0,4131.13,2.1,7554.79,41.82,0.0,28.0,11.0,11.0,12.0,40.0,110.0,15.56,122598.0,7652.77,2.11,9677.86,55.42,0.0,18.0,11.0,11.0,17.0,35.0,83.0
02104,02,Taltal,46.23,355055.0,331.28,11.5,708.66,41.75,0.0,12.0,12.0,12.0,4.0,16.0,103.0,36.87,152416.0,390.23,11.48,766.43,,,,,,,,
02201,02,Calama,39.54,0.0,148.02,8.1,443.37,26.62,0.0,35.0,13.0,13.0,13.0,48.0,293.0,33.23,0.0,144.6,8.14,411.09,,,,,,,,
02202,02,Ollagüe,70.22,278267.0,3948.89,8.7,14978.82,61.11,0.0,5.0,6.0,6.0,4.0,9.0,36.0,66.69,119072.0,4665.58,8.72,18748.56,47.06,0.0,2.0,7.0,7.0,4.0,6.0,34.0
02203,02,San Pedro De Atacama,,351406.0,,4.9,,49.58,0.0,21.0,11.0,11.0,14.0,35.0,119.0,51.46,151250.0,605.11,4.87,2062.38,47.41,0.0,20.0,9.0,9.0,17.0,37.0,116.0
02301,02,Tocopilla,65.64,449236.0,140.31,10.4,737.13,,,,,,,,,65.79,193750.0,115.12,10.43,551.91,23.58,0.0,15.0,7.0,7.0,1.0,16.0,123.0
02302,02,María Elena,37.94,288667.0,741.16,5.6,1570.99,48.84,0.0,5.0,7.0,7.0,2.0,7.0,43.0,26.17,123710.0,1021.38,5.55,2075.2,36.67,0.0,7.0,5.0,5.0,2.0,9.0,60.0
03101,03,Copiapó,42.59,0.0,149.08,7.2,359.2,28.75,0.0,41.0,10.0,10.0,29.0,70.0,327.0,40.38,0.0,149.08,7.23,314.46,21.58,0.0,79.0,14.0,14.0,27.0,106.0,292.0
03102,03,Caldera,76.47,376278.0,170.54,4.1,934.59,23.94,0.0,8.0,12.0,12.0,7.0,15.0,142.0,73.55,159595.0,177.48,4.11,821.09,26.95,0.0,9.0,10.0,10.0,7.0,16.0,141.0
03103,03,Tierra Amarilla,44.5,334109.0,354.14,6.9,883.41,29.57,0.0,9.0,9.0,9.0,8.0,17.0,115.0,33.29,143846.0,516.81,6.87,910.51,,,,,,,,
03201,03,Chañaral,63.94,363869.0,218.04,11.5,670.26,42.24,0.0,9.0,8.0,8.0,4.0,13.0,116.0,53.16,156584.0,235.37,11.46,593.31,27.5,0.0,12.0,9.0,9.0,4.0,16.0,120.0
03202,03,Diego De Almagro,47.66,326903.0,354.12,5.7,781.71,34.75,0.0,8.0,11.0,11.0,8.0,16.0,141.0,37.31,140381.0,384.54,5.68,806.39,34.07,0.0,8.0,6.0,6.0,10.0,18.0,135.0
03301,03,Vallenar,63.88,634398.0,116.99,10.7,376.87,57.5,0.0,16.0,10.0,10.0,17.0,33.0,120.0,60.44,260167.0,109.02,10.73,323.43,40.82,0.0,17.0,11.0,11.0,18.0,35.0,147.0
03302,03,Alto Del Carmen,71.76,333588.0,219.11,15.1,1790.72,58.82,0.0,4.0,12.0,12.0,6.0,10.0,51.0,68.21,143177.0,230.59,15.06,1085.88,58.0,0.0,6.0,11.0,11.0,6.0,12.0,50.0
03303,03,Freirina,76.7,328337.0,142.02,13.4,833.23,42.11,0.0,3.0,6.0,6.0,0.0,3.0,57.0,70.03,140839.0,166.35,13.39,755.01,36.67,0.0,0.0,7.0,7.0,0.0,0.0,60.0
03304,03,Huasco,68.51,353769.0,204.34,11.4,776.39,51.06,0.0,5.0,8.0,8.0,10.0,15.0,47.0,61.88,152211.0,206.17,11.37,642.5,30.77,0.0,5.0,7.0,7.0,7.0,12.0,52.0
04101,04,La Serena,30.62,0.0,143.71,5.9,427.67,40.78,0.0,62.0,21.0,21.0,91.0,153.0,689.0,30.75,0.0,135.82,5.93,406.77,41.9,0.0,81.0,22.0,22.0,94.0,175.0,716.0
04102,04,Coquimbo,40.45,0.0,175.49,7.1,332.99,35.84,0.0,69.0,28.0,28.0,79.0,148.0,385.0,39.88,0.0,169.69,7.06,327.54,44.28,0.0,71.0,28.0,28.0,88.0,159.0,542.0
04103,04,Andacollo,76.68,350913.0,142.5,10.5,699.17,35.71,0.0,0.0,15.0,15.0,2.0,2.0,70.0,73.74,150922.0,131.5,10.45,578.44,39.39,0.0,4.0,7.0,7.0,2.0,6.0,66.0
04104,04,La Higuera,69.97,335710.0,387.11,10.7,1825.67,35.85,0.0,8.0,6.0,6.0,3.0,11.0,53.0,59.73,145981.0,468.26,10.75,1752.91,32.14,0.0,9.0,7.0,7.0,3.0,12.0,56.0
04105,04,Paiguano,76.85,309724.0,245.67,8.3,1621.81,73.33,0.0,6.0,6.0,6.0,2.0,8.0,45.0,62.85,132811.0,443.72,8.29,1933.35,47.73,0.0,5.0,7.0,7.0,2.0,7.0,44.0
04106,04,Vicuña,75.89,495849.0,103.2,10.9,623.62,39.26,0.0,11.0,11.0,11.0,17.0,28.0,163.0,74.32,214084.0,100.93,10.91,454.33,39.53,0.0,7.0,14.0,14.0,17.0,24.0,172.0
04201,04,Illapel,80.55,597595.0,67.48,8.1,407.21,29.52,0.0,2.0,36.0,36.0,3.0,5.0,105.0,74.16,257065.0,81.78,8.05,362.31,,,,,,,,
04202,04,Canela,81.65,347304.0,117.99,16.3,796.51,35.82,0.0,4.0,8.0,8.0,11.0,15.0,67.0,73.3,149275.0,125.74,16.31,538.4,32.84,0.0,3.0,7.0,7.0,13.0,16.0,67.0
