comuna_code,comuna_name,year,indicator_group,area_pct
CL14101,Valdivia,2023,beach_dune,0.3
CL14101,Valdivia,2023,grassland,0.0
CL14101,Valdivia,2023,pasture,12.9
CL14101,Valdivia,2023,primary_forest,25.2
CL14101,Valdivia,2023,secondary_forest,16.6
CL14101,Valdivia,2023,shrubland,4.5
CL14101,Valdivia,2023,silviculture,34.8
CL14101,Valdivia,2023,urban_built,2.4
CL14101,Valdivia,2023,water,0.7
CL14101,Valdivia,2023,wetland,2.5
CL14102,Corral,2023,beach_dune,0.1
CL14102,Corral,2023,grassland,0.0
CL14102,Corral,2023,pasture,2.6
CL14102,Corral,2023,primary_forest,31.3
CL14102,Corral,2023,secondary_forest,36.4
CL14102,Corral,2023,shrubland,3.1
CL14102,Corral,2023,silviculture,25.2
CL14102,Corral,2023,urban_built,0.1
CL14102,Corral,2023,water,0.3
CL14102,Corral,2023,wetland,0.7
CL14103,Lanco,2023,beach_dune,0.0
CL14103,Lanco,2023,grassland,0.0
CL14103,Lanco,2023,pasture,31.7
CL14103,Lanco,2023,primary_forest,18.1
CL14103,Lanco,2023,secondary_forest,15.1
CL14103,Lanco,2023,shrubland,2.4
CL14103,Lanco,2023,silviculture,31.5
CL14103,Lanco,2023,urban_built,0.8
CL14103,Lanco,2023,water,0.0
CL14103,Lanco,2023,wetland,0.2
CL14104,Los Lagos,2023,beach_dune,0.0
CL14104,Los Lagos,2023,grassland,0.1
CL14104,Los Lagos,2023,ice_snow,0.5
CL14104,Los Lagos,2023,other_bare,0.3
CL14104,Los Lagos,2023,pasture,26.8
CL14104,Los Lagos,2023,primary_forest,27.5
CL14104,Los Lagos,2023,secondary_forest,16.7
CL14104,Los Lagos,2023,shrubland,1.9
CL14104,Los Lagos,2023,silviculture,21.9
CL14104,Los Lagos,2023,urban_built,0.6
CL14104,Los Lagos,2023,water,3.7
CL14104,Los Lagos,2023,wetland,0.1
CL14105,Máfil,2023,beach_dune,0.1
CL14105,Máfil,2023,grassland,0.0
CL14105,Máfil,2023,pasture,36.2
CL14105,Máfil,2023,primary_forest,11.1
CL14105,Máfil,2023,secondary_forest,14.5
CL14105,Máfil,2023,shrubland,3.3
CL14105,Máfil,2023,silviculture,33.7
CL14105,Máfil,2023,urban_built,0.6
CL14105,Máfil,2023,water,0.3
CL14105,Máfil,2023,wetland,0.3
CL14106,Mariquina,2023,beach_dune,0.2
CL14106,Mariquina,2023,grassland,0.0
CL14106,Mariquina,2023,pasture,22.2
CL14106,Mariquina,2023,primary_forest,20.8
CL14106,Mariquina,2023,secondary_forest,14.8
CL14106,Mariquina,2023,shrubland,3.6
CL14106,Mariquina,2023,silviculture,36.8
CL14106,Mariquina,2023,urban_built,0.6
CL14106,Mariquina,2023,water,0.2
CL14106,Mariquina,2023,wetland,0.8
CL14107,Paillaco,2023,beach_dune,0.0
CL14107,Paillaco,2023,grassland,0.0
CL14107,Paillaco,2023,pasture,52.2
CL14107,Paillaco,2023,primary_forest,9.3
CL14107,Paillaco,2023,secondary_forest,11.1
CL14107,Paillaco,2023,shrubland,2.2
CL14107,Paillaco,2023,silviculture,24.3
CL14107,Paillaco,2023,urban_built,0.6
CL14107,Paillaco,2023,water,0.0
CL14107,Paillaco,2023,wetland,0.1
CL14108,Panguipulli,2023,beach_dune,0.0
CL14108,Panguipulli,2023,cropland,0.0
CL14108,Panguipulli,2023,grassland,0.3
CL14108,Panguipulli,2023,ice_snow,2.3
CL14108,Panguipulli,2023,other_bare,1.7
CL14108,Panguipulli,2023,pasture,14.1
CL14108,Panguipulli,2023,primary_forest,42.1
CL14108,Panguipulli,2023,secondary_forest,27.0
CL14108,Panguipulli,2023,shrubland,0.9
CL14108,Panguipulli,2023,silviculture,2.3
CL14108,Panguipulli,2023,urban_built,0.5
CL14108,Panguipulli,2023,water,8.5
CL14108,Panguipulli,2023,wetland,0.3
CL14201,La Unión,2023,beach_dune,0.1
CL14201,La Unión,2023,grassland,0.0
CL14201,La Unión,2023,pasture,26.8
CL14201,La Unión,2023,primary_forest,25.2
CL14201,La Unión,2023,secondary_forest,18.6
CL14201,La Unión,2023,shrubland,2.4
CL14201,La Unión,2023,silviculture,24.3
CL14201,La Unión,2023,urban_built,0.4
CL14201,La Unión,2023,water,1.7
CL14201,La Unión,2023,wetland,0.3
CL14202,Futrono,2023,beach_dune,0.0
CL14202,Futrono,2023,grassland,0.2
CL14202,Futrono,2023,ice_snow,1.5
CL14202,Futrono,2023,other_bare,1.9
CL14202,Futrono,2023,pasture,12.8
CL14202,Futrono,2023,primary_forest,49.2
CL14202,Futrono,2023,secondary_forest,23.3
CL14202,Futrono,2023,shrubland,0.6
CL14202,Futrono,2023,silviculture,1.9
CL14202,Futrono,2023,urban_built,0.1
CL14202,Futrono,2023,water,8.3
CL14202,Futrono,2023,wetland,0.1
