action_id,action_name,sr15_option,dimension,indicator,sr15_code,cell_score_01,city_indicator,sign,city_quintile_category,city_capacity,indicator_contribution
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,economic,cost-effectiveness,C,0.5,median_household_income,1,very low,0.0,-1.0
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,economic,cost-effectiveness,C,0.5,poverty_rate,-1,very high,1.0,-1.0
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,economic,distributional_effects,C,0.5,poverty_rate,-1,very high,1.0,-1.0
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,economic,employment_productivity,C,1.0,unemployment_rate,1,very high,1.0,1.0
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,environmental,air_pollution,C,1.0,(no bridge),0,,,
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,environmental,biodiversity,C,1.0,(no bridge),0,,,
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,environmental,water_use,C,1.0,(no bridge),0,,,
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,geophysical,physical_feasibility,C,1.0,(no bridge),0,,,
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,institutional,transparency_accountability,C,1.0,(no bridge),0,,,
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,socio_cultural,intergenerational_equity,C,1.0,(no bridge),0,,,
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,socio_cultural,public_acceptance,C,1.0,(no bridge),0,,,
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,socio_cultural,social_co_benefits,C,1.0,(no bridge),0,,,
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,technological,absence_of_risk,C,1.0,(no bridge),0,,,
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,technological,maturity,C,1.0,(no bridge),0,,,
icare_0012,Expand solar energy generation on municipal facilities and p,Solar PV,technological,simplicity,C,1.0,(no bridge),0,,,
ipcc_0038,Stimulate solar energy production in industrial facilities,Solar PV,economic,cost-effectiveness,C,0.5,median_household_income,1,very low,0.0,-1.0
ipcc_0038,Stimulate solar energy production in industrial facilities,Solar PV,economic,cost-effectiveness,C,0.5,poverty_rate,-1,very high,1.0,-1.0
ipcc_0038,Stimulate solar energy production in industrial facilities,Solar PV,economic,distributional_effects,C,0.5,poverty_rate,-1,very high,1.0,-1.0
