"locode","country_code","region_name","attribute_type","attribute_value","attribute_units","datasource","datasource_date","attribute_category"
CL CNE,CL,Tarapacá,disability_prevalence,"13.85",percent,cl-ine-censo,2024,high
CL CNE,CL,Tarapacá,electricity_access_rate,"83.4",percent,cl-ine-censo,2024,very low
CL CNE,CL,Tarapacá,employment_agriculture_utilities,"25.13",percent,cl-ine-censo,2024,high
CL CNE,CL,Tarapacá,employment_in_transport_and_logistics,"7.18",percent,cl-ine-censo,2024,high
CL CNE,CL,Tarapacá,fixed_internet_household_share,"2.86",percent,cl-ine-censo,2024,very low
CL CNE,CL,Tarapacá,home_ownership,"51.82",percent,cl-ine-censo,2024,very low
CL CNE,CL,Tarapacá,indigenous_identification_rate,"90.63",percent,cl-ine-censo,2024,very high
CL CNE,CL,Tarapacá,industry_construction_employment,"18.46",percent,cl-ine-censo,2024,low
CL CNE,CL,Tarapacá,literacy_rate,"85.97",percent,cl-ine-censo,2024,very low
CL CNE,CL,Tarapacá,mean_years_schooling,"6.17",years,cl-ine-censo,2024,very low
CL CNE,CL,Tarapacá,population,"684.0",persons,cl-ine-censo,2024,very low
CL CNE,CL,Tarapacá,renter_share,"17.81",percent,cl-ine-censo,2024,high
CL CNE,CL,Tarapacá,median_household_income,"537834.0",CLP,cl-casen,2022,very low
CL CNE,CL,Tarapacá,poverty_rate,"34.88",percent,cl-casen,2022,very high
CL CNE,CL,Tarapacá,unemployment_rate,"11.86",percent,cl-casen,2022,very high
CL CNE,CL,Tarapacá,public_transport_share,"0.0",percent,cl-casen,2022,very low
