option,dimension,indicator,sr15_code,option_family,city_indicator,sign,scope
Wind (on-shore & off-shore),technological,maturity,C,energy_supply,(no scope-matching bridge),0,""
Solar PV,technological,maturity,C,energy_supply,(no scope-matching bridge),0,""
Bioenergy,technological,maturity,C,energy_supply,(no scope-matching bridge),0,""
Solar PV,technological,simplicity,C,energy_supply,(no scope-matching bridge),0,""
Bioenergy,technological,simplicity,C,energy_supply,(no scope-matching bridge),0,""
Wind (on-shore & off-shore),technological,absence_of_risk,C,energy_supply,(no scope-matching bridge),0,""
Solar PV,technological,absence_of_risk,C,energy_supply,(no scope-matching bridge),0,""
Bioenergy,technological,absence_of_risk,C,energy_supply,(no scope-matching bridge),0,""
Wind (on-shore & off-shore),institutional,transparency_accountability,C,energy_supply,(no scope-matching bridge),0,""
Solar PV,institutional,transparency_accountability,C,energy_supply,(no scope-matching bridge),0,""
Bioenergy,institutional,transparency_accountability,A,energy_supply,(no scope-matching bridge),0,""
Wind (on-shore & off-shore),socio_cultural,social_co_benefits,C,energy_supply,(no scope-matching bridge),0,""
Solar PV,socio_cultural,social_co_benefits,C,energy_supply,(no scope-matching bridge),0,""
Solar PV,socio_cultural,public_acceptance,C,energy_supply,(no scope-matching bridge),0,""
Bioenergy,socio_cultural,public_acceptance,A,energy_supply,(no scope-matching bridge),0,""
Wind (on-shore & off-shore),socio_cultural,intergenerational_equity,C,energy_supply,(no scope-matching bridge),0,""
Solar PV,socio_cultural,intergenerational_equity,C,energy_supply,(no scope-matching bridge),0,""
Wind (on-shore & off-shore),environmental,air_pollution,C,energy_supply,(no scope-matching bridge),0,""
Solar PV,environmental,air_pollution,C,energy_supply,(no scope-matching bridge),0,""
Wind (on-shore & off-shore),environmental,toxic_waste,C,energy_supply,(no scope-matching bridge),0,""
Wind (on-shore & off-shore),environmental,water_use,C,energy_supply,(no scope-matching bridge),0,""
Solar PV,environmental,water_use,C,energy_supply,(no scope-matching bridge),0,""
Bioenergy,environmental,water_use,A,energy_supply,(no scope-matching bridge),0,""
