community,completed_actions
Aitkin,0
Albert Lea,55
Alexandria,45
Apple Valley,64
Arden Hills,23
Arlington,36
Audubon,0
Austin,79
Barnum,4
Belle Plaine,28
Bemidji,69
Big Lake,20
Bloomington,69
Bois Forte Band of Chippewa,0
Braham,0
Brainerd,43
Brooklyn Center,49
Brooklyn Park,16
Burnsville,88
Carver,8
Champlin,36
Chanhassen,23
Chisholm,3
Circle Pines,16
Cologne,6
Columbia Heights,34
Coon Rapids,95
Cottage Grove,46
Crookston,20
Crosslake,31
Crystal,61
Delano,20
Detroit Lakes,46
Dilworth,17
Dodge Center,7
Duluth,108
Eagan,66
Eagle Lake,0
East Grand Forks,9
Eden Prairie,75
Edina,82
Elk River,71
Elko New Market,35
Ely,32
Falcon Heights,28
Faribault,26
Farmington,52
Fergus Falls,91
Fond du Lac Band of Lake Superior Chippewa,25
Forest Lake,3
Fridley,53
Gilbert,11
Golden Valley,80
Grand Marais,36
Grand Rapids,27
Granite Falls,30
Hackensack,23
Hallock,5
Hastings,69
Hermantown,12
Hewitt,4
Hoffman,18
Hopkins,44
Hugo,17
Hutchinson,74
Inver Grove Heights,52
Jordan,36
Kasson,40
La Crescent,54
Lake City,31
Lake Crystal,35
Lake Elmo,31
Lakeville,32
LaPrairie,35
Lauderdale,15
Leech Lake Band of Ojibwe,61
Lewiston,2
Lexington,38
Long Beach,30
Mahnomen,5
Mahtomedi,20
Mankato,58
Maple Grove,23
Maplewood,127
Marine on Saint Croix,15
Marshall,46
Mayer,4
Mendota Heights,35
Milan,4
Minnetonka,43
Moorhead,51
Mora,19
Morris,24
Mounds View,36
Mountain Iron,19
New Brighton,48
New Germany,7
New Hope,95
New Prague,47
New Ulm,39
Newport,41
Nisswa,21
North Branch,30
North Saint Paul,27
Northfield,51
Oakdale,55
Paynesville,0
Pierz,29
Pine City,14
Pine River,14
Plymouth,30
Prairie Island Indian Community,17
Red Lake Nation,7
Red Wing,73
Richfield,86
Robbinsdale,78
Rochester,88
Rogers,26
Rosemount,46
Roseville,66
Royalton,35
Rush City,14
Saint Anthony,61
Saint Cloud,89
Saint Francis,0
Saint James,25
Saint Louis Park,44
Saint Paul,87
Saint Paul Park,10
Saint Peter,62
Sartell,54
Sauk Rapids,22
Savage,62
Scandia,29
Shakopee,50
Sherburn,17
Shoreview,58
Shorewood,29
Silver Bay,12
South Saint Paul,41
Spring Lake Park,0
Stacy,3
Stillwater,45
Sunfish Lake,6
Two Harbors,25
Vadnais Heights,21
Vergas,18
Vesta,0
Victoria,36
Warren,35
West Saint Paul,99
White Bear Lake,52
Willmar,31
Winona,32
Woodbury,77
Wyoming,31
