community,city_detail_id,category,best_practice,bp_no,action_no,star_rating,date_first_entered,year_completed,descriptive_file_url
Rochester,12396,Buildings and Lighting,Efficient Existing Public Buildings,1,1,1,2011-06-01,,
Rochester,12396,Buildings and Lighting,Efficient Existing Public Buildings,1,2,2,2011-06-13,,
Rochester,12396,Buildings and Lighting,Efficient Existing Public Buildings,1,5,1,2011-06-01,,
Rochester,12396,Buildings and Lighting,Efficient Existing Public Buildings,1,7,2,2013-10-15,,https://greenstep.pca.state.mn.us/sites/default/files/1.7RochesterActionFile.pdf
Rochester,12396,Buildings and Lighting,Efficient Existing Private Buildings,2,1,2,2011-07-26,,
Rochester,12396,Buildings and Lighting,Efficient Existing Private Buildings,2,5,3,2011-05-31,,
Rochester,12396,Buildings and Lighting,Efficient Existing Private Buildings,2,6,2,2011-05-31,2005,
Rochester,12396,Buildings and Lighting,New Green Buildings,3,1,1,2011-06-13,,
Rochester,12396,Buildings and Lighting,New Green Buildings,3,2,1,2011-07-26,,
Rochester,12396,Buildings and Lighting,New Green Buildings,3,3,1,2011-08-01,,
Rochester,12396,Buildings and Lighting,New Green Buildings,3,4,3,2011-06-09,,
Rochester,12396,Buildings and Lighting,Efficient Outdoor Lighting and Signals,4,2,2,2011-07-26,,
Rochester,12396,Buildings and Lighting,Efficient Outdoor Lighting and Signals,4,3,1,2011-07-26,,
Rochester,12396,Buildings and Lighting,Efficient Outdoor Lighting and Signals,4,4,1,2011-06-14,,
Rochester,12396,Buildings and Lighting,Efficient Outdoor Lighting and Signals,4,5,1,2011-06-01,,
Rochester,12396,Buildings and Lighting,Efficient Outdoor Lighting and Signals,4,8,3,2011-06-01,,
Rochester,12396,Buildings and Lighting,Building Redevelopment,5,1,1,2011-06-14,,
Rochester,12396,Buildings and Lighting,Building Redevelopment,5,2,1,2011-06-14,,
Rochester,12396,Buildings and Lighting,Building Redevelopment,5,3,1,2011-06-14,,
Rochester,12396,Buildings and Lighting,Building Redevelopment,5,3,1,2011-06-14,,
Rochester,12396,Buildings and Lighting,Building Redevelopment,5,4,1,2011-06-14,,
Rochester,12396,Buildings and Lighting,Building Redevelopment,5,5,2,2011-06-01,,
Rochester,12396,Land Use,"Comprehensive, Climate and Energy Plans",6,1,1,2011-01-27,,
Rochester,12396,Land Use,"Comprehensive, Climate and Energy Plans",6,2,1,2011-05-16,,
Rochester,12396,Land Use,"Comprehensive, Climate and Energy Plans",6,3,1,2011-05-17,,
