community,current_step,status,govt_type
Aitkin,1,active,city
Albert Lea,3,active,city
Alexandria,1,active,city
Apple Valley,5,active,city
Arden Hills,2,active,city
Arlington,3,active,city
Audubon,1,active,city
Austin,3,active,city
Barnum,1,active,city
Belle Plaine,3,active,city
Bemidji,3,active,city
Big Lake,2,active,city
Bloomington,5,active,city
Bois Forte Band of Chippewa,1,active,tribal_nation
Braham,1,active,city
Brainerd,2,active,city
Brooklyn Center,3,active,city
Brooklyn Park,2,active,city
Burnsville,5,active,city
Carver,2,active,city
Champlin,1,active,city
Chanhassen,2,active,city
Chisholm,1,active,city
Circle Pines,2,active,city
Cologne,1,active,city
Columbia Heights,2,active,city
Coon Rapids,5,active,city
Cottage Grove,5,active,city
Crookston,2,active,city
Crosslake,3,active,city
Crystal,3,active,city
Delano,2,active,city
Detroit Lakes,2,active,city
Dilworth,2,active,city
Dodge Center,1,active,city
Duluth,5,active,city
Eagan,5,active,city
Eagle Lake,1,active,city
East Grand Forks,1,active,city
Eden Prairie,5,active,city
Edina,5,active,city
Elk River,5,active,city
Elko New Market,2,active,city
Ely,3,active,city
Falcon Heights,5,active,city
Faribault,2,active,city
Farmington,2,active,city
Fergus Falls,2,active,city
Fond du Lac Band of Lake Superior Chippewa,2,active,tribal_nation
Forest Lake,1,inactive,city
Fridley,5,active,city
Gilbert,2,active,city
Golden Valley,5,active,city
Grand Marais,2,active,city
Grand Rapids,2,active,city
Granite Falls,2,active,city
Hackensack,2,active,city
Hallock,1,active,city
Hastings,3,active,city
Hermantown,2,active,city
Hewitt,2,active,city
Hoffman,2,active,city
Hopkins,5,active,city
Hugo,2,active,city
Hutchinson,5,active,city
Inver Grove Heights,5,active,city
Jordan,5,active,city
Kasson,3,active,city
La Crescent,5,active,city
Lake City,3,active,city
Lake Crystal,3,active,city
Lake Elmo,5,active,city
Lakeville,3,active,city
LaPrairie,2,active,city
Lauderdale,2,active,city
Leech Lake Band of Ojibwe,5,active,tribal_nation
Lewiston,1,active,city
Lexington,3,active,city
Long Beach,3,active,city
Mahnomen,1,active,city
Mahtomedi,5,active,city
Mankato,2,active,city
Maple Grove,2,active,city
Maplewood,5,active,city
Marine on Saint Croix,3,active,city
Marshall,5,active,city
Mayer,1,active,city
Mendota Heights,3,active,city
Milan,2,active,city
Minnetonka,5,active,city
Moorhead,5,active,city
Mora,2,active,city
Morris,5,active,city
Mounds View,3,active,city
Mountain Iron,2,active,city
New Brighton,5,active,city
New Germany,2,active,city
New Hope,3,active,city
New Prague,3,active,city
New Ulm,2,active,city
Newport,3,active,city
Nisswa,5,active,city
North Branch,3,active,city
North Saint Paul,5,active,city
Northfield,5,active,city
Oakdale,5,active,city
Paynesville,1,active,city
Pierz,2,inactive,city
Pine City,2,active,city
Pine River,2,inactive,city
Plymouth,2,active,city
Prairie Island Indian Community,2,active,tribal_nation
Red Lake Nation,1,active,tribal_nation
Red Wing,5,active,city
Richfield,3,active,city
Robbinsdale,5,active,city
Rochester,5,active,city
Rogers,3,active,city
Rosemount,2,active,city
Roseville,5,active,city
Royalton,2,active,city
Rush City,2,active,city
Saint Anthony,5,active,city
Saint Cloud,3,active,city
Saint Francis,1,active,city
Saint James,5,active,city
Saint Louis Park,5,active,city
Saint Paul,5,active,city
Saint Paul Park,2,active,city
Saint Peter,2,active,city
Sartell,2,active,city
Sauk Rapids,2,active,city
Savage,5,active,city
Scandia,3,active,city
Shakopee,2,active,city
Sherburn,2,active,city
Shoreview,5,active,city
Shorewood,2,active,city
Silver Bay,2,active,city
South Saint Paul,5,active,city
Spring Lake Park,1,active,city
Stacy,1,active,city
Stillwater,2,active,city
Sunfish Lake,2,active,city
Two Harbors,2,active,city
Vadnais Heights,2,active,city
Vergas,2,active,city
Vesta,1,active,city
Victoria,3,active,city
Warren,3,active,city
West Saint Paul,3,active,city
White Bear Lake,4,active,city
Willmar,2,active,city
Winona,2,active,city
Woodbury,5,active,city
Wyoming,3,active,city
