city,indicator,sector,subcategory,gpc_sector,gpc_code_applied,gpc_scope,tco2e,mapping_confidence,year
Arden Hills,energy,residential,Other,I,I.1.1,1.0,177.23572282811176,medium,2024
Blaine,energy,residential,Other,I,I.1.1,1.0,2284.523895413643,medium,2024
Circle Pines,energy,residential,Other,I,I.1.1,1.0,0.0,medium,2024
Crookston,energy,residential,Other,I,I.1.1,1.0,1761.463530120482,medium,2024
Crystal,energy,residential,Other,I,I.1.1,1.0,206.45412781778853,medium,2024
Gem Lake,energy,residential,Other,I,I.1.1,1.0,48.5120231372549,medium,2024
Golden Valley,energy,residential,Other,I,I.1.1,1.0,518.7973906681035,medium,2024
Lauderdale,energy,residential,Other,I,I.1.1,1.0,74.84915887788779,medium,2024
Little Canada,energy,residential,Other,I,I.1.1,1.0,507.14174391079507,medium,2024
Maplewood,energy,residential,Other,I,I.1.1,1.0,1018.2276412870754,medium,2024
Minnetonka,energy,residential,Other,I,I.1.1,1.0,2019.0459758190327,medium,2024
Mounds View,energy,residential,Other,I,I.1.1,1.0,571.9871840464177,medium,2024
New Brighton,energy,residential,Other,I,I.1.1,1.0,682.5736529914122,medium,2024
North Oaks,energy,residential,Other,I,I.1.1,1.0,154.54628524414716,medium,2024
North Saint Paul,energy,residential,Other,I,I.1.1,1.0,415.7581552206084,medium,2024
Northfield,energy,residential,Other,I,I.1.1,1.0,0.0,medium,2024
Oakdale,energy,residential,Other,I,I.1.1,1.0,1104.0806859817703,medium,2024
Rochester,energy,residential,Other,I,I.1.1,1.0,4043.8622019787263,medium,2024
Roseville,energy,residential,Other,I,I.1.1,1.0,1188.3371981363873,medium,2024
Saint Anthony Village,energy,residential,Other,I,I.1.1,1.0,0.0,medium,2024
Saint Louis Park,energy,residential,Other,I,I.1.1,1.0,2494.089002169914,medium,2024
Shoreview,energy,residential,Other,I,I.1.1,1.0,586.0721887241266,medium,2024
Spring Lake Park,energy,residential,Other,I,I.1.1,1.0,0.0,medium,2024
Stillwater,energy,residential,Other,I,I.1.1,1.0,429.8270590102041,medium,2024
Thief River Falls,energy,residential,Other,I,I.1.1,1.0,955.0003964414415,medium,2024
Vadnais Heights,energy,residential,Other,I,I.1.1,1.0,294.24740003937006,medium,2024
White Bear Lake,energy,residential,Other,I,I.1.1,1.0,1210.6333142481203,medium,2024
White Bear Township,energy,residential,Other,I,I.1.1,1.0,699.7494164832536,medium,2024
Arden Hills,energy,residential,Natural Gas,I,I.1.1,1.0,12560.812874,high,2024
Blaine,energy,residential,Natural Gas,I,I.1.1,1.0,95507.695668,high,2024
Circle Pines,energy,residential,Natural Gas,I,I.1.1,1.0,6707.54022,high,2024
Crookston,energy,residential,Natural Gas,I,I.1.1,1.0,9298.84208,high,2024
Crystal,energy,residential,Natural Gas,I,I.1.1,1.0,30250.235814,high,2024
Gem Lake,energy,residential,Natural Gas,I,I.1.1,1.0,1165.397156,high,2024
Golden Valley,energy,residential,Natural Gas,I,I.1.1,1.0,35282.504992,high,2024
Lauderdale,energy,residential,Natural Gas,I,I.1.1,1.0,2551.480676,high,2024
Little Canada,energy,residential,Natural Gas,I,I.1.1,1.0,10667.658054,high,2024
Maplewood,energy,residential,Natural Gas,I,I.1.1,1.0,48103.352112,high,2024
Minnetonka,energy,residential,Natural Gas,I,I.1.1,1.0,88978.3829,high,2024
Mounds View,energy,residential,Natural Gas,I,I.1.1,1.0,14584.232104,high,2024
New Brighton,energy,residential,Natural Gas,I,I.1.1,1.0,27156.106418,high,2024
North Oaks,energy,residential,Natural Gas,I,I.1.1,1.0,13864.887516,high,2024
North Saint Paul,energy,residential,Natural Gas,I,I.1.1,1.0,15037.54906,high,2024
Northfield,energy,residential,Natural Gas,I,I.1.1,1.0,21356.056308,high,2024
Oakdale,energy,residential,Natural Gas,I,I.1.1,1.0,34597.02011,high,2024
Rochester,energy,residential,Natural Gas,I,I.1.1,1.0,133894.843742,high,2024
Roseville,energy,residential,Natural Gas,I,I.1.1,1.0,41474.890552,high,2024
Saint Anthony Village,energy,residential,Natural Gas,I,I.1.1,1.0,10575.784286,high,2024
Saint Louis Park,energy,residential,Natural Gas,I,I.1.1,1.0,56162.499258,high,2024
Shoreview,energy,residential,Natural Gas,I,I.1.1,1.0,37980.113672,high,2024
Spring Lake Park,energy,residential,Natural Gas,I,I.1.1,1.0,8378.74831,high,2024
Stillwater,energy,residential,Natural Gas,I,I.1.1,1.0,29595.770826,high,2024
Thief River Falls,energy,residential,Natural Gas,I,I.1.1,1.0,12667.486636,high,2024
Vadnais Heights,energy,residential,Natural Gas,I,I.1.1,1.0,18229.375434,high,2024
White Bear Lake,energy,residential,Natural Gas,I,I.1.1,1.0,30798.441844,high,2024
White Bear Township,energy,residential,Natural Gas,I,I.1.1,1.0,17496.416766,high,2024
Arden Hills,energy,residential,Electricity,I,I.1.2,2.0,5831.363978088995,high,2024
Blaine,energy,residential,Electricity,I,I.1.2,2.0,117554.72054713554,high,2024
Circle Pines,energy,residential,Electricity,I,I.1.2,2.0,11809.478721763586,high,2024
Crookston,energy,residential,Electricity,I,I.1.2,2.0,14595.128822781911,high,2024
Crystal,energy,residential,Electricity,I,I.1.2,2.0,14175.137807291572,high,2024
Gem Lake,energy,residential,Electricity,I,I.1.2,2.0,654.8892588224621,high,2024
Golden Valley,energy,residential,Electricity,I,I.1.2,2.0,16517.14341273247,high,2024
Lauderdale,energy,residential,Electricity,I,I.1.2,2.0,1398.8654059375851,high,2024
Little Canada,energy,residential,Electricity,I,I.1.2,2.0,6456.392839970969,high,2024
Maplewood,energy,residential,Electricity,I,I.1.2,2.0,24313.17695905153,high,2024
Minnetonka,energy,residential,Electricity,I,I.1.2,2.0,43308.62446826181,high,2024
Mounds View,energy,residential,Electricity,I,I.1.2,2.0,7878.700996876984,high,2024
New Brighton,energy,residential,Electricity,I,I.1.2,2.0,13926.476982833621,high,2024
North Oaks,energy,residential,Electricity,I,I.1.2,2.0,5905.649786809398,high,2024
North Saint Paul,energy,residential,Electricity,I,I.1.2,2.0,14147.5986891046,high,2024
Northfield,energy,residential,Electricity,I,I.1.2,2.0,10886.750031751792,high,2024
Oakdale,energy,residential,Electricity,I,I.1.2,2.0,16541.131979406695,high,2024
Rochester,energy,residential,Electricity,I,I.1.2,2.0,253847.15776784904,high,2024
Roseville,energy,residential,Electricity,I,I.1.2,2.0,21383.139479415768,high,2024
Saint Anthony Village,energy,residential,Electricity,I,I.1.2,2.0,5299.68169629638,high,2024
Saint Louis Park,energy,residential,Electricity,I,I.1.2,2.0,31993.867574734646,high,2024
Shoreview,energy,residential,Electricity,I,I.1.2,2.0,18078.262783861017,high,2024
Spring Lake Park,energy,residential,Electricity,I,I.1.2,2.0,4007.277229429375,high,2024
Stillwater,energy,residential,Electricity,I,I.1.2,2.0,14728.23501264175,high,2024
Thief River Falls,energy,residential,Electricity,I,I.1.2,2.0,16523.30197995101,high,2024
Vadnais Heights,energy,residential,Electricity,I,I.1.2,2.0,10686.562789168103,high,2024
White Bear Lake,energy,residential,Electricity,I,I.1.2,2.0,22819.648936314978,high,2024
White Bear Township,energy,residential,Electricity,I,I.1.2,2.0,12177.947639027489,high,2024
Arden Hills,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Blaine,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Circle Pines,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Crookston,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,2899.051485072,medium,2024
Crystal,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Gem Lake,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Golden Valley,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Lauderdale,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Little Canada,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Maplewood,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,2680.4440656,medium,2024
Minnetonka,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Mounds View,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
New Brighton,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
North Oaks,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
North Saint Paul,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Northfield,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Oakdale,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Rochester,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Roseville,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Saint Anthony Village,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Saint Louis Park,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Shoreview,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Spring Lake Park,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Stillwater,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Thief River Falls,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Vadnais Heights,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
White Bear Lake,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
White Bear Township,energy,commercial_industrial,Other,I,I.2.1+I.3.1,1.0,0.0,medium,2024
Arden Hills,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,26742.052256,medium,2024
Blaine,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,67905.015518,medium,2024
Circle Pines,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,1238.61538,medium,2024
Crookston,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,15798.9803,medium,2024
Crystal,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,12554.266416,medium,2024
Gem Lake,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,789.494326,medium,2024
Golden Valley,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,54564.695522,medium,2024
Lauderdale,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,1529.27067,medium,2024
Little Canada,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,12775.846204,medium,2024
Maplewood,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,46382.23991,medium,2024
Minnetonka,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,64159.500256,medium,2024
Mounds View,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,10204.274124,medium,2024
New Brighton,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,31132.944044,medium,2024
North Oaks,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,3136.439404,medium,2024
North Saint Paul,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,8765.999752,medium,2024
Northfield,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,57918.050828,medium,2024
Oakdale,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,21522.068314,medium,2024
Rochester,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,264808.3188328,medium,2024
Roseville,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,65440.537322,medium,2024
Saint Anthony Village,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,11620.037402,medium,2024
Saint Louis Park,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,73555.922318,medium,2024
Shoreview,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,16101.41496,medium,2024
Spring Lake Park,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,8151.308086,medium,2024
Stillwater,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,17711.822356,medium,2024
Thief River Falls,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,19476.605974,medium,2024
Vadnais Heights,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,12725.995272,medium,2024
White Bear Lake,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,33344.343938,medium,2024
White Bear Township,energy,commercial_industrial,Natural Gas,I,I.2.1+I.3.1,1.0,8370.845762,medium,2024
Arden Hills,energy,commercial_industrial,Electricity,I,I.2.2+I.3.2,2.0,31268.960037950194,medium,2024
Blaine,energy,commercial_industrial,Electricity,I,I.2.2+I.3.2,2.0,117105.217822004,medium,2024
Circle Pines,energy,commercial_industrial,Electricity,I,I.2.2+I.3.2,2.0,3142.98113716774,medium,2024
Crookston,energy,commercial_industrial,Electricity,I,I.2.2+I.3.2,2.0,40320.99141318153,medium,2024
Crystal,energy,commercial_industrial,Electricity,I,I.2.2+I.3.2,2.0,8666.602206044181,medium,2024
Gem Lake,energy,commercial_industrial,Electricity,I,I.2.2+I.3.2,2.0,612.3348952190873,medium,2024
