evidence_id,indicator_id
ev_a0ba2d16322f3cf2,90028
ev_a0ba2d16322f3cf2,90030
ev_09a4086367abf43a,90028
ev_09a4086367abf43a,90030
ev_ee2121dad23a8126,90018
ev_ee2121dad23a8126,90019
ev_d10730a7e0191bad,90018
ev_d10730a7e0191bad,90019
ev_204138d05a43352d,90015
ev_204138d05a43352d,90016
ev_204138d05a43352d,90023
ev_204138d05a43352d,90026
ev_8d0b2fd7b74cc7a3,90028
ev_8d0b2fd7b74cc7a3,90029
ev_8d0b2fd7b74cc7a3,90030
ev_54a418f38cc26412,90028
ev_54a418f38cc26412,90029
ev_54a418f38cc26412,90030
ev_75c64f1771a34a3f,90018
ev_75c64f1771a34a3f,90019
ev_75c64f1771a34a3f,90027
ev_a8d2838c20df1ee9,90018
ev_a8d2838c20df1ee9,90019
ev_0437e6ef092fcbbc,90028
ev_0437e6ef092fcbbc,90030
ev_e89f8f55e5a29043,90028
ev_e89f8f55e5a29043,90030
ev_17ceaf36a66fb614,90018
ev_17ceaf36a66fb614,90019
ev_98e3130b0dffc7f8,90018
ev_98e3130b0dffc7f8,90019
ev_aeb87333c0fcdba8,90028
ev_aeb87333c0fcdba8,90030
ev_f0051b40454ef6d8,90028
ev_f0051b40454ef6d8,90030
ev_b419ecf0e46db9f4,90018
ev_b419ecf0e46db9f4,90019
ev_d7b0c7e4227ce4d2,90018
ev_d7b0c7e4227ce4d2,90019
ev_73e8d0d5708ff097,90028
ev_73e8d0d5708ff097,90029
ev_73e8d0d5708ff097,90030
ev_08a94436ad56bd5d,90018
ev_08a94436ad56bd5d,90019
ev_08a94436ad56bd5d,90027
ev_e6102a5439400512,90028
ev_556d782c8de1fbf3,90019
ev_da94a030246f6f75,90028
ev_da94a030246f6f75,90029
ev_da94a030246f6f75,90030
ev_3f014c0476b01e5b,90028
ev_3f014c0476b01e5b,90030
ev_c881b462206c3010,90028
ev_c881b462206c3010,90029
ev_c881b462206c3010,90030
ev_837b8d7ae13148df,90018
ev_837b8d7ae13148df,90019
ev_837b8d7ae13148df,90027
ev_0398431a82786654,90018
ev_0398431a82786654,90019
ev_2e0785afbfbf8368,90018
ev_2e0785afbfbf8368,90019
ev_ab822b3283ba70f7,90028
ev_ab822b3283ba70f7,90029
ev_ab822b3283ba70f7,90030
ev_20a2c1d7e3b32f18,90028
ev_20a2c1d7e3b32f18,90029
ev_20a2c1d7e3b32f18,90030
ev_17664ab88659d241,90018
ev_17664ab88659d241,90019
ev_17664ab88659d241,90027
ev_915af1da87e25ce2,90018
ev_915af1da87e25ce2,90019
ev_7cb308f72855b1e4,90028
ev_7cb308f72855b1e4,90030
ev_b0e13be13852f8cc,90028
ev_b0e13be13852f8cc,90029
ev_b0e13be13852f8cc,90030
ev_36c5177a0d7d12c9,90018
ev_36c5177a0d7d12c9,90019
ev_f37b99532c0733f9,90018
ev_f37b99532c0733f9,90019
ev_f37b99532c0733f9,90020
ev_bf723946abf9de4b,90028
ev_bf723946abf9de4b,90029
ev_bf723946abf9de4b,90030
ev_0cb5b349bb57e41d,90018
ev_0cb5b349bb57e41d,90019
ev_0cb5b349bb57e41d,90022
ev_0cb5b349bb57e41d,90023
ev_0cb5b349bb57e41d,90024
ev_0cb5b349bb57e41d,90027
ev_9229a0f05a794df6,90014
ev_9229a0f05a794df6,90015
ev_9229a0f05a794df6,90016
ev_9229a0f05a794df6,90020
ev_9229a0f05a794df6,90023
ev_9229a0f05a794df6,90026
ev_587ecdabc09a02d2,90014
ev_587ecdabc09a02d2,90015
ev_587ecdabc09a02d2,90016
ev_587ecdabc09a02d2,90020
ev_587ecdabc09a02d2,90023
ev_587ecdabc09a02d2,90026
ev_0b828167290df42e,10008
ev_c7ad87b777a4510e,10008
ev_308825ca90d26541,10009
ev_308825ca90d26541,10010
ev_94511a34664767b7,10009
ev_94511a34664767b7,10010
ev_8a353f763e6eb708,10009
ev_8a353f763e6eb708,10010
ev_c2e83574b0b32c26,10017
ev_06e2b51c8b86eec3,10017
ev_5393603cdfa5a865,10017
ev_3291bce3b0395986,10017
ev_8ca10a1d2c01f2e5,10018
ev_15fdd54b321fe4cb,10018
ev_197b6b22e0d3e4a7,10017
ev_67cb83b0517ba82c,10017
ev_7f3fb5e84a184b30,10017
ev_192ac6c05048c65d,10017
ev_0bb0b4c5f8b1674c,10008
ev_3b8be4ce901f956d,10008
ev_8339d6d239f473e1,10017
ev_8c21e13ad01dabda,10017
ev_b0f6d8775f6d626a,10018
ev_d3944a97e8f27171,10009
ev_d3944a97e8f27171,10010
ev_a5c217715db5c52c,10018
ev_78c6f53b48728598,10018
ev_16e7c658a29dcb67,10009
ev_16e7c658a29dcb67,10010
ev_142ebd7c64d35d5d,10017
ev_578066bef031c2bc,10017
ev_eeea2a086d2ba6f8,10008
ev_186781b139632c88,10008
ev_20307e1056384da1,10009
ev_20307e1056384da1,10010
ev_2b668831958af0af,10009
ev_2b668831958af0af,10010
ev_56147e11eeeae070,10018
ev_e9b80bc90f1ec669,10018
ev_e55f887837a61ea6,10009
ev_e55f887837a61ea6,10010
ev_f73f8807eef11422,10008
ev_35a2d666dbfe4fee,10008
ev_582850ddca9f12a1,10017
ev_be93cadda902b51e,10017
ev_4c6e577b9718e78c,10018
ev_2aca8f1e09d74994,10015
ev_2aca8f1e09d74994,10016
ev_1f193de30faf2eab,10015
ev_1f193de30faf2eab,10016
ev_bf94b01ca0bddc71,10015
ev_bf94b01ca0bddc71,10016
ev_1569f832674b0ce0,10016
ev_b4bcac10c0b7b7f8,10013
ev_3400f3629cb707f5,10013
ev_95f74ba43212671a,10018
ev_7f4c9fc8de372db5,10017
ev_bb972ac290c8ac4b,10017
ev_b3204e7c5a580e72,10018
ev_bbebb04f15575bb8,10018
ev_19a2fc123dbdf8c7,5019
ev_19a2fc123dbdf8c7,5021
ev_19a2fc123dbdf8c7,5024
ev_19a2fc123dbdf8c7,5063
ev_a4524d120f5c43f1,5021
ev_a4524d120f5c43f1,5023
ev_a4524d120f5c43f1,5024
ev_a4524d120f5c43f1,5025
ev_a4524d120f5c43f1,5064
ev_e5d354a18b69cca6,5026
ev_e5d354a18b69cca6,5027
ev_e5d354a18b69cca6,5028
ev_e5d354a18b69cca6,5030
ev_e5d354a18b69cca6,5031
ev_e5d354a18b69cca6,5071
ev_e5d354a18b69cca6,5077
