"gpc_sector","subsector","parameter_description","unit","minimum_geographic_granularity","data_type","declared_source_count","gap_status","source_1_provider","source_1_dataset_url","source_1_methodology_url","source_1_latest_reporting_year","source_1_year_coverage","source_1_geographic_coverage","source_1_granularity","source_2_provider","source_2_dataset_url","source_2_methodology_url","source_2_latest_reporting_year","source_2_year_coverage","source_2_geographic_coverage","source_2_granularity","source_3_provider","source_3_dataset_url","source_3_methodology_url","source_3_latest_reporting_year","source_3_year_coverage","source_3_geographic_coverage","source_3_granularity"
"All","","Population","Person","City","Other","1","","","","","","","Brazil","","Global Human Settlement Layer (GHSL) built-up volume dataset","https://human-settlement.emergency.copernicus.eu/datasets.php","","2025","1975-2030","Global","1km-by-1km resolution","","","","","","",""
"All","","Population growth","%","State","Other","1","","","","","","","Brazil","","Global Human Settlement Layer (GHSL) built-up volume dataset","https://human-settlement.emergency.copernicus.eu/datasets.php","","2025","1975-2030","Global","1km-by-1km resolution","","","","","","",""
"All","","Economic growth","%","State","Other","0","GAP","","","","","","Brazil","","","","","","","","","","","","","","",""
"Stationary","All buildings","Average unit size (m2 per household or commercial unit)","m2/ unit by typology","State or country","Activity","0","GAP","","","","","","Brazil","","","","","","","","","","","","","","",""
"Stationary","Residential","Number of units (households)","units by typology","City","Activity","1","","GOVERNMENT","https://sidra.ibge.gov.br/tabela/6579","","2026","","Brazil","Cities in Brazil","","","","","","","","","","","","","",""
"Stationary","All buildings","Floor space (m2) by typology in total for the city","m2 by typology","City","Activity","2","","","","","","","Brazil","","Google EIE","https://insights.sustainability.google/places/ChIJP3hMRj9MxwcRyjdrDArGYUY?hl=en-USS","","2023","","Global","City-level","CURB 2.0","https://datacatalog.worldbank.org/search/dataset/0042029/curb-climate-action-for-urban-sustainability","","2016","2016","Global","National"
"Stationary","Residential","Proportion of household by Income bands","%","State","Activity","2","","IBGE","","","2022","","Brazil","Census","CURB 2.0","https://datacatalog.worldbank.org/search/dataset/0042029/curb-climate-action-for-urban-sustainability","","2016","2016","Global","National","","","","","","",""
"Stationary","All buildings","Energy use by m2 or unit","kWh/m2 or kWh/unit","State","Activity","2","","","","","","","Brazil","","EDGE","https://edgebuildings.com/edge-resource-portal/","","2026","","Global","Subnational, typology","CURB 2.0","https://datacatalog.worldbank.org/search/dataset/0042029/curb-climate-action-for-urban-sustainability","","2016","2016","Global","National"
"Stationary","All buildings","Energy use by end-use of energy (eg. lighting, cooking etc...)","%","State","Activity","2","","","","","","","Brazil","","EDGE","https://edgebuildings.com/edge-resource-portal/","","2026","","Global","Subnational, typology","CURB 2.0","https://datacatalog.worldbank.org/search/dataset/0042029/curb-climate-action-for-urban-sustainability","","2016","2016","Global","National"
"Stationary","All buildings","Type of lighting (eg. LED, incandescent)","%","State or country","Activity","0","GAP","","","","","","Brazil","","","","","","","","","","","","","","",""
"Stationary","All buildings","Type of envelope (eg. masonry, metal cladding, insulated wall etc...)","%","State or country","Activity","1","","Salurbal","https://www.salurbal.org/en/data/catalog/?query=housing&page=3","","Request","","Brazil","Cities in Brazil","","","","","","","","","","","","","",""
"Stationary","All buildings","Type of cooking (eg. electric, gas stove, open fire...etc)","%","State or country","Activity","2","","PNAD/IBGE (National Household Sample Survey)","","","Annual","","Brazil","State level","WHO household energy database","https://www.who.int/data/gho/data/themes/air-pollution/who-household-energy-db","","2024","","Global","National","","","","","","",""
"Stationary","All buildings","Type of water heating (eg. solar, electric, gas etc...)","%","State or country","Activity","0","GAP","","","","","","Brazil","","","","","","","","","","","","","","",""
"Stationary","All buildings","Type of cooling (eg. electric, district cooling, AC, fan etc...)","%","State or country","Activity","0","GAP","","","","","","Brazil","","","","","","","","","","","","","","",""
"Stationary","All buildings","Equipment efficiency (star rating, or low-medium-high)","%","State or country","Activity","1","","","","","","","Brazil","","IEA Household appliance database","https://www.iea.org/data-and-statistics/data-product/household-appliances-database","","2026","","Global","National","","","","","","",""
"Stationary","All buildings","Sales of electricity","kWh","City","Activity","2","","","","","","","Brazil","","Climate Trace","https://climatetrace.org/data","","2026","","Global","City-level","IEA Household energy expenditure database","https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators-highlights","","2025","2000 to 2024","Global","National (residential only("
"Stationary","All buildings","Sales of gas","kWh or m3","City","Activity","1","","Petroleum, Natural Gas and Biofuels National Agency (Agencia Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP)","https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis","","2026-06-01","","Brazil","Cities in Brazil","","","","","","","","","","","","","",""
"Stationary","All buildings","Sales of generator fuels","kWh or L","City","Activity","1","","Petroleum, Natural Gas and Biofuels National Agency (Agencia Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP)","https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis","","2026-06-01","","Brazil","Cities in Brazil","","","","","","","","","","","","","",""
"Stationary","All buildings","Other fuel use","kWh","City","Activity","1","","Petroleum, Natural Gas and Biofuels National Agency (Agencia Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP)","Request","","Request","","Brazil","Cities in Brazil","","","","","","","","","","","","","",""
"Stationary","All buildings","Grid emission factor","tCO2/kWh","State","Emission Factor","3","","Government Brazil","https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/sirene/dados-e-ferramentas/fatores-de-emissao","","2026","","Brazil","sub-national","IGES","","","2025","","Global","National","Electricity maps","https://app.electricitymaps.com/map/zone/ET/all/yearly","","2026","2017-2026","Global","Sub-national"
"Stationary","All buildings","Cooking fuel efficiency","Varied","Global","Efficiency factor","1","","","","","","","Brazil","","IEA Household appliance database","https://www.iea.org/data-and-statistics/data-product/household-appliances-database","","2026","","Global","National","","","","","","",""
"Stationary","All buildings","Fuel emission factors","tCO2/kWh","Global","Emission Factor","1","","","","","","","Brazil","","IPCC 2006","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf","","2006","","Global","Global","","","","","","",""
"Stationary","All buildings","Lighting measures efficiency potential","% reduction in energy use","Global","Activity","1","","","","","","","Brazil","","C40 Pathways Library","on Request (Hono)","","2016","","Global","Global","","","","","","",""
"Stationary","All buildings","Cooking measures potential","% reduction in energy use","Global","Activity","2","","","","","","","Brazil","","C40 Pathways Library","on Request (Hono)","","2016","","Global","Global","Climate Trace method","https://github.com/climatetracecoalition/methodology-documents/blob/main/2025/Buildings/Estimating%20Global%20High-Resolution%20Onsite%20Building%20Emissions-Building%20sector-112025.docx.pdf","","2026","","Global","Global"
"Stationary","All buildings","Passive cooling measures potential","% reduction in energy use","Global","Activity","1","","","","","","","Brazil","","C40 Pathways Library","on Request (Hono)","","2016","","Global","Global","","","","","","",""
"Stationary","All buildings","AC measures potential","% reduction in energy use","Global","Activity","1","","","","","","","Brazil","","C40 Pathways Library","on Request (Hono)","","2016","","Global","Global","","","","","","",""
"Stationary","All buildings","Appliances efficiency measures potential","% reduction in energy use","Global","Activity","1","","","","","","","Brazil","","C40 Pathways Library","on Request (Hono)","","2016","","Global","Global","","","","","","",""
"Stationary","All buildings","Envelope measures potential","% reduction in energy use","Global","Activity","1","","","","","","","Brazil","","C40 Pathways Library","on Request (Hono)","","2016","","Global","Global","","","","","","",""
"Stationary","All buildings","Water heating measures potential","% reduction in energy use","Global","Activity","2","","","","","","","Brazil","","C40 Pathways Library","on Request (Hono)","","2016","","Global","Global","Climate Trace method","https://github.com/climatetracecoalition/methodology-documents/blob/main/2025/Buildings/Estimating%20Global%20High-Resolution%20Onsite%20Building%20Emissions-Building%20sector-112025.docx.pdf","","2026","","Global","Global"
