"parameter_id","parameter_title","parameter_type","meaning_category","calculation_phase","unit","tef_priority_tag","all_tags","tef_global_default","global_default_available","global_default_scaling","global_default_valid_from","global_default_year","global_default_reference","global_default_reference_domain","global_default_comment","country_specific_value_count","countries_with_values","default_use_assessment","preferred_source_level","data_sourcing_effort","assessment_rationale","classification_status","direct_activity_model_count","direct_activity_model_ids","transition_model_count","transition_model_codes","transition_model_ids","sectors","m1_in_scope_tef_parameter","m1_in_scope_shift_count","m1_in_scope_shift_codes","m1_data_work_assessment","tef_source_file","tef_repository","tef_source_snapshot","analysis_date","tef_licence"
"initial_operation_biofuel_fired_powerplants","Initial operations biofuel powered power plants","OPERATIONS","Activity level / stock","Core baseline / abatement calculation","kwh","","operations","0","true","PER_CAPITA","2019-01-01","2019","https://climateview.slab.com/posts/electricity-production-and-consumption-uk-kknqra9l","climateview.slab.com","Initialized to zero.","5","DE; ES; GB; SE; US","Replace with local data","City or local inventory","High","Defines the baseline activity or stock being acted on and therefore drives city-scale potential.","Rule-based initial assessment; expert validation required","1","biofuel_fired_powerplants","1","T-5A1-TE-11","biofuel_fired_power_plants","energy","true","1","T-5A1-TE-11","Replace with local data","models/parameters/initial_operation_biofuel_fired_powerplants.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"initial_operation_coal_fired_power_plants","Initial operation coal fired power plants","OPERATIONS","Activity level / stock","Core baseline / abatement calculation","kwh","PRIO_MEDIUM","operations; PRIO_MEDIUM","0","true","PER_CAPITA","2021-01-01","2021","https://climateview.slab.com/posts/electricity-production-and-consumption-uk-kknqra9l","climateview.slab.com","Initialized to zero.","8","CA; CH; DE; ES; FR; GB; SE; US","Replace with local data","City or local inventory","High","Defines the baseline activity or stock being acted on and therefore drives city-scale potential.","Rule-based initial assessment; expert validation required","1","coal_fired_power_plants","1","T-5A1-TE-1","coal_fired_power_plants","energy","true","1","T-5A1-TE-1","Replace with local data","models/parameters/initial_operation_coal_fired_power_plants.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"initial_operation_gas_fired_power_plants","Initial operation gas fired power plants","OPERATIONS","Activity level / stock","Core baseline / abatement calculation","kwh","PRIO_MEDIUM","operations; PRIO_MEDIUM","0","true","PER_CAPITA","2021-01-01","2021","https://climateview.slab.com/posts/electricity-production-and-consumption-uk-kknqra9l","climateview.slab.com","Initialized to zero.","8","CA; CH; DE; ES; FR; GB; SE; US","Replace with local data","City or local inventory","High","Defines the baseline activity or stock being acted on and therefore drives city-scale potential.","Rule-based initial assessment; expert validation required","1","gas_fired_power_plants","1","T-5A1-TE-2","gas_fired_power_plants","energy","true","1","T-5A1-TE-2","Replace with local data","models/parameters/initial_operation_gas_fired_power_plants.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"initial_operation_hydro_reservoir","Initial Operation Hydro Reservoir","OPERATIONS","Activity level / stock","Core baseline / abatement calculation","kwh","PRIO_LOW","operations; PRIO_LOW","0","true","PER_CAPITA","2019-01-01","2019","https://climateview.slab.com/posts/electricity-production-and-consumption-uk-kknqra9l","climateview.slab.com","Initialized to zero.","8","CA; CH; DE; ES; FR; GB; SE; US","Replace with local data","City or local inventory","High","Defines the baseline activity or stock being acted on and therefore drives city-scale potential.","Rule-based initial assessment; expert validation required","1","hydro_reservoir","1","T-5A1-TE-6","hydro_reservoir","energy","true","1","T-5A1-TE-6","Replace with local data","models/parameters/initial_operation_hydro_reservoir.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"initial_operation_imported_electricity_grid","Initial imported grid electricity","OPERATIONS","Activity level / stock","Core baseline / abatement calculation","kwh","PRIO_LOW","operations; PRIO_LOW","0","true","PER_CAPITA","2020-01-01","2020","","","Initialized to zero.","0","","Replace with local data","City or local inventory","High","Defines the baseline activity or stock being acted on and therefore drives city-scale potential.","Rule-based initial assessment; expert validation required","1","imported_grid","1","T-5A1-TE-4","imported_grid_electricity_emission_factor","energy","true","1","T-5A1-TE-4","Replace with local data","models/parameters/initial_operation_imported_electricity_grid.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"initial_operation_imported_grid_district_heat","Initial operation imported grid district heat","OPERATIONS","Activity level / stock","Core baseline / abatement calculation","kwh","","operations","0","true","PER_CAPITA","2020-01-01","2020","","","Initialized to zero.","0","","Replace with local data","City or local inventory","High","Defines the baseline activity or stock being acted on and therefore drives city-scale potential.","Rule-based initial assessment; expert validation required","1","imported_grid_district_heat","2","T-5A2-TE-1; T-5A2-TE-2","imported_grid_district_heat; imported_grid_district_heat_emission_factor","energy","true","2","T-5A2-TE-1; T-5A2-TE-2","Replace with local data","models/parameters/initial_operation_imported_grid_district_heat.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"initial_operation_oil_fired_power_plants","Initial operation oil fired power plants","OPERATIONS","Activity level / stock","Core baseline / abatement calculation","kwh","PRIO_MEDIUM","operations; PRIO_MEDIUM","0","true","PER_CAPITA","2021-01-01","2021","https://climateview.slab.com/posts/electricity-production-and-consumption-uk-kknqra9l","climateview.slab.com","Initialized to zero.","8","CA; CH; DE; ES; FR; GB; SE; US","Replace with local data","City or local inventory","High","Defines the baseline activity or stock being acted on and therefore drives city-scale potential.","Rule-based initial assessment; expert validation required","1","oil_fired_power_plants","1","T-5A1-TE-5","oil_fired_power_plants","energy","true","1","T-5A1-TE-5","Replace with local data","models/parameters/initial_operation_oil_fired_power_plants.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"initial_operation_solar_parks","Initial operation solar parks","OPERATIONS","Activity level / stock","Core baseline / abatement calculation","kwh","PRIO_MEDIUM","operations; PRIO_MEDIUM","0","true","PER_CAPITA","2019-01-01","2019","https://climateview.slab.com/posts/electricity-production-and-consumption-uk-kknqra9l","climateview.slab.com","Initialized to zero.","8","CA; CH; DE; ES; FR; GB; SE; US","Replace with local data","City or local inventory","High","Defines the baseline activity or stock being acted on and therefore drives city-scale potential.","Rule-based initial assessment; expert validation required","1","solar_parks","1","T-5A1-TE-7","solar_parks","energy","true","1","T-5A1-TE-7","Replace with local data","models/parameters/initial_operation_solar_parks.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"initial_operation_solar_rooftop","Initial operation solar roof-top","OPERATIONS","Activity level / stock","Core baseline / abatement calculation","kwh","PRIO_LOW","operations; PRIO_LOW","0","true","PER_CAPITA","2019-01-01","2019","https://climateview.slab.com/posts/electricity-production-and-consumption-uk-kknqra9l","climateview.slab.com","Initialized to zero.","8","CA; CH; DE; ES; FR; GB; SE; US","Replace with local data","City or local inventory","High","Defines the baseline activity or stock being acted on and therefore drives city-scale potential.","Rule-based initial assessment; expert validation required","1","solar_rooftops","1","T-5A1-TE-8","solar_rooftops","energy","true","1","T-5A1-TE-8","Replace with local data","models/parameters/initial_operation_solar_rooftop.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"initial_operation_wind_offshore","Initial operation wind offshore","OPERATIONS","Activity level / stock","Core baseline / abatement calculation","kwh","PRIO_LOW","operations; PRIO_LOW","0","true","PER_CAPITA","2019-01-01","2019","","","Initialized to zero.","0","","Replace with local data","City or local inventory","High","Defines the baseline activity or stock being acted on and therefore drives city-scale potential.","Rule-based initial assessment; expert validation required","1","wind_offshore","1","T-5A1-TE-9","wind_offshore","energy","true","1","T-5A1-TE-9","Replace with local data","models/parameters/initial_operation_wind_offshore.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
