opportunity_id,opportunity_name,funder_id,funder_name,instrument,gpc_sectors,eligible_actor,access_pathway,status,recurrence,amount_note,climate_relevance,specificity,source_url,source_dataset,access_route,city_can_apply
fpa-2026-proyectos-sustentables-ciudadanos,FPA 2026 - Proyectos Sustentables Ciudadanos,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector"", ""waste"", ""stationary_energy"", ""afolu"", ""water""]",community/citizen org,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2026-proyectos-sustentables-ciudadanos/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2026-proyectos-sustentables-en-establecimien,FPA 2026 - Proyectos Sustentables en Establecimientos Educacionales,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector"", ""waste"", ""stationary_energy"", ""afolu"", ""water""]",community/citizen org,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2026-proyectos-sustentables-en-establecimientos-educacionales/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2026-proyectos-sustentables-para-pueblos-ind,FPA 2026 - Proyectos Sustentables para Pueblos Indígenas,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector"", ""waste"", ""stationary_energy"", ""afolu"", ""water""]",indigenous community,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2026-proyectos-sustentables-para-pueblos-indigenas/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-extraordinario-rapa-nui-2026,FPA Extraordinario Rapa Nui 2026,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""afolu""]",indigenous community,direct application (via fondos.gob.cl),closed,sporadic,amount_suspect (source typo),explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2026-rapanui/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2025-alto-del-carmen-ecosistemas-altoandinos,FPA 2025 - Alto del Carmen: Ecosistemas Altoandinos – Humedales y Criósfera,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""afolu""]",research/university + ngo,direct application (via fondos.gob.cl),closed,one-off,,explicit,sector-specific,https://fondos.mma.gob.cl/altodelcarmen-hidrico-2025/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpr-2026-fondo-para-el-reciclaje,FPR 2026 - Fondo para el Reciclaje,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""waste""]",municipality,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpr-2026-fondo-para-el-reciclaje/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2025-tsej-comuna-de-tocopilla,FPA 2025 – TSEJ comuna de Tocopilla,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,one-off,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-tsej-2025-tocopilla/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2025-tsej-comuna-de-mejillones,FPA 2025 – TSEJ comuna de Mejillones,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,one-off,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-tsej-2025-mejillones/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2025-conservando-y-protegiendo-la-fauna-silv,FPA 2025 – Conservando y protegiendo la fauna silvestre (Centros de Rehabilitación o Rescate),ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""afolu""]",unspecified,direct application (via fondos.gob.cl),closed,one-off,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2025-conservando-fauna-silvestre-crr/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2024-conservaci-n-del-pud-en-la-provincia-de,FPA 2024 – Conservación del Pudú en la provincia de Chiloé,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""afolu""]",unspecified,direct application (via fondos.gob.cl),closed,one-off,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2024-pudu-conservacion/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2024-iniciativas-ciudadanas-tsej-comuna-de-h,"FPA 2024 – Iniciativas Ciudadanas TSEJ, comuna de Huasco",ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,one-off,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2024-tsej-h/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2024-iniciativas-ciudadanas-tsej-conc-n-quin,"FPA 2024 – Iniciativas Ciudadanas TSEJ, Concón, Quintero y Puchuncaví",ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,one-off,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2024-tsej-qpc/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2024-iniciativas-ciudadanas-tsej-comuna-de-c,"FPA 2024 – Iniciativas Ciudadanas TSEJ, comuna de Coronel",ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,one-off,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2024-tsej-c/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2024-fortalecimiento-de-centros-de-rehabilit,FPA 2024 – Fortalecimiento de Centros de Rehabilitación o Rescate de Fauna Silvestre,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""afolu""]",unspecified,direct application (via fondos.gob.cl),closed,one-off,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2024-fortalecimiento-centros-rehabilitacion-rescate/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2024-educaci-n-ambiental-para-la-prevenci-n-,FPA 2024 – Educación Ambiental para la Prevención de Incendios Forestales y Protección de la Biodiversidad,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""afolu""]",unspecified,direct application (via fondos.gob.cl),closed,one-off,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2024-prevencion-incendios-forestales/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2024-fortalecimiento-para-recicladores-de-ba,FPA 2024 – Fortalecimiento para recicladores de base,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""waste""]",unspecified,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2024-fortalecimiento-para-recicladores-de-base/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2024-programa-modelo-para-la-formaci-n-de-l-,FPA 2024 – Programa Modelo para la Formación de Líderes Ambientales Comunitarios,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2024-lideres-ambientales-comunitarios/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2024-chilo-reduce-en-tu-establecimiento-educ,FPA 2024 – Chiloé Reduce en tu Establecimiento Educacional,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2024-chiloe-reduce-en-tu-establecimiento-educacional/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2023-concurso-ecodesaf-os,FPA 2023 – Concurso EcoDesafíos,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2023-concurso-eco-desafios/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2023-emprendimientos-circulares-para-comunid,FPA 2023 – Emprendimientos Circulares para Comunidades Chilotas,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2023-emprendimientos-circulares-para-comunidades-chilotas/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2023-proyectos-sustentables-para-pueblos-ind,FPA 2023 – Proyectos Sustentables para Pueblos Indígenas,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",indigenous community,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2023-proyectos-sustentables-para-pueblos-indigenas/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2023-proyectos-sustentables-en-establecimien,FPA 2023 – Proyectos Sustentables en Establecimientos Educacionales,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2023-proyectos-sustentables-en-establecimientos-educacionales/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2023-proyectos-sustentables-ciudadanos,FPA 2023 – Proyectos Sustentables Ciudadanos,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2023-proyectos-sustentables-ciudadanos/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2022-emprendimientos-verdes-para-comunidades,FPA 2022 – Emprendimientos Verdes para Comunidades Indígenas,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",indigenous community,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/emprendimientos-verdes-para-comunidades-indigenas/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
