funding_id,project_id,funder_id,opportunity_id,source_label,amount,amount_unit,paid_amount,cycle,source_dataset
pf-00001,30044764-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00002,40040910-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00003,40040915-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00004,40040982-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00005,40041021-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00006,40041275-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00007,40041441-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00008,40041675-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00009,40041675-0,,,SECTORIAL,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00010,40041675-0,,,MUNICIPAL,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00011,40041764-0,,,SECTORIAL,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00012,40040909-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00013,40047226-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00014,40006997-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00015,30307073-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00016,30308475-0,,,SECTORIAL,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00017,30313675-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00018,30318723-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00019,30320823-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00020,30326072-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00021,40040833-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00022,40040749-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00023,40045781-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00024,40042135-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00025,40042113-0,,,SECTORIAL,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00026,40041953-0,,,SECTORIAL,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00027,40039684-0,,,SECTORIAL,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00028,40039707-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00029,40039877-0,,,SECTORIAL,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00030,40040096-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00031,40040771-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00032,40040392-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00033,40040584-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00034,40040590-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00035,40040650-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00036,40040653-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00037,40040684-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
pf-00038,40040692-0,gobiernos-regionales-16-subdere-min-interior,fndr-inversi-n-regional-glosa-03-sni,F.N.D.R.,,CLP_millions,,,cl-ssg/cl-ssg-projects
