project_id,project_name,action_id,sector,jurisdiction,lifecycle_stage,evaluation_verdict,cost_total,amount_committed,amount_paid,amount_unit,duration_months,beneficiaries_total,owner_formulator,match_label,source_dataset,n_funding_sources,route
30044764-0,CONSTRUCCION CICLO VIA ACCESO ORIENTE ARAUCO RUTA P - 20,ipcc_0105,TRANSPORTE,ARAUCO,EJECUCION,FI,80.0,80.0,,CLP_millions,,0.0,MUNICIPALIDAD DE ARAUCO,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40040910-0,"CONSTRUCCION ILUMINACIÓN SOLAR EN SECTOR LOS CASTILLOS, ANTUCO.",icare_0040,ENERGIA,ANTUCO,EJECUCION,,95.1,95.1,,CLP_millions,,365.0,MUNICIPALIDAD DE ANTUCO,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40040915-0,"CONSTRUCCION ILUMINACIÓN SOLAR EN SECTOR VILLA PELUCA, ANTUCO",icare_0040,ENERGIA,ANTUCO,PERFIL,,95.1,95.1,,CLP_millions,,744.0,MUNICIPALIDAD DE ANTUCO,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40040982-0,CONSTRUCCION ALUMBRADO PUBLICO SUSTENTABLE FOTOVOLTAICO ISLAS DE QUINCHAO,icare_0040,ENERGIA,QUINCHAO,PERFIL,,136.0,136.0,,CLP_millions,,981.0,MUNICIPALIDAD DE QUINCHAO,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40041021-0,INSTALACION Y REPOSICION DE LUMINARIAS FOTOVOLTAICAS PUERTO OCTAY,icare_0040,ENERGIA,PUERTO OCTAY,PERFIL,,136.0,136.0,,CLP_millions,,2053.0,MUNICIPALIDAD DE PUERTO OCTAY,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40041275-0,TRANSFERENCIA IMPLEMENTACIÓN PILOTOS ECONOMÍA CIRCULAR ASOCIADOS A LEY REP,c40_0037,MULTISECTORIAL,L BIO BIO,PERFIL,,339.6,339.6,,CLP_millions,12.0,150.0,GOBIERNO REGIONAL - REGION DEL BIO BIO,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40041441-0,TRANSFERENCIA ECONOMIA CIRCULAR 4.0 PARA EL DESARROLLO DE INNOVACIÓN EMPRESARIAL,c40_0037,MULTISECTORIAL,LA ARAUCANIA,PERFIL,,1000.0,1000.0,,CLP_millions,36.0,46.0,GOBIERNO REGIONAL - REGION DE LA ARAUCANIA,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40041675-0,CONSTRUCCION PARQUE URBANO RENE SCHNEIDER ETAPA 1- CALAMA,c40_0042,VIVIENDA Y DESARROLLO URBANO,CALAMA,PERFIL,RS,5901.9,0.0,0.0,CLP_millions,,22055.0,SEREMI VIVIENDA REGION DE ANTOFAGASTA,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),3,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40041764-0,CONSTRUCCION DE CICLOVIAS DE LA COMUNA DE QUILACO,ipcc_0105,TRANSPORTE,,PERFIL,OT,84.4,84.4,,CLP_millions,,17761.0,SEREMI VIVIENDA REGION DEL BIO BIO,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40040909-0,ADQUISICION DE EXCAVADORA PARA VERTEDERO COMUNA DE MELIPILLA.,c40_0036,RECURSOS NATURALES Y MEDIO AMBIENTE,MELIPILLA,PERFIL,,136.1,136.1,,CLP_millions,,123627.0,MUNICIPALIDAD DE MELIPILLA,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40047226-0,CONSTRUCCION Y MEJORAMIENTO RED CICLOVÍAS GRAN SANTIAGO,ipcc_0105,TRANSPORTE,METROPOLITANA DE SANTIAGO,DISEÑO,FI,8369.8,8369.8,,CLP_millions,,6119984.0,GOBIERNO REGIONAL - REGION METROPOLITANA DE SANTIAGO,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40006997-0,"ADQUISICION LUMINARIAS FOTOVOLTAICAS PLAZAS Y AREAS EQUIPAMIENTO ETAPA 2, QUILLO",icare_0040,ENERGIA,QUILLOTA,PERFIL,,374.8,374.8,,CLP_millions,,70000.0,MUNICIPALIDAD DE QUILLOTA,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
30307073-0,"HABILITACION LUMINARIAS SOLARES RURALES, VILLARRICA 2014",icare_0040,ENERGIA,VILLARRICA,PERFIL,,30.0,30.0,,CLP_millions,,6000.0,MUNICIPALIDAD DE VILLARRICA,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
30308475-0,"CONSTRUCCION RED DE CICLOVIAS RED CORTO PLAZO, TALCA",ipcc_0105,TRANSPORTE,TALCA,DISEÑO,RS,41.9,41.9,,CLP_millions,,17000.0,SEREMI VIVIENDA REGION DEL MAULE,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
30313675-0,HABILITACION ALUMBRADO PUBLICO FOTOVOLTAICO EN SERVICIOS PÚBLICOS Y,icare_0040,ENERGIA,EMPEDRADO,EJECUCION,,25.1,25.1,,CLP_millions,,2225.0,GOBIERNO REGIONAL - REGION DEL MAULE,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
30318723-0,TRANSFERENCIA MANEJO BOSQUE NATIVO COMO EJE PROD DENDROENERGIA,ipcc_0068,RECURSOS NATURALES Y MEDIO AMBIENTE,AISEN DEL GENERAL CARLOS,EJECUCION,,876.3,0.1,0.1,CLP_millions,62.0,345.0,CORPORACION NACIONAL FORESTAL REGION DE AISEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
30320823-0,TRANSFERENCIA SISTEMA SOLAR PARA CULTIVO TECNIFICADO EN EL DESIERTO,icare_0012,ENERGIA,ANTOFAGASTA,PERFIL,,180.0,180.0,,CLP_millions,,,GOBIERNO REGIONAL - REGION DE ANTOFAGASTA,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
30326072-0,TRANSFERENCIA TECNICA EN DESARROLLO DE LA LEÑA (DENDROENERGIA) Y PFNM,ipcc_0068,RECURSOS NATURALES Y MEDIO AMBIENTE,AISEN DEL GENERAL CARLOS,PERFIL,,732.3,732.3,,CLP_millions,60.0,120.0,INSTITUTO DESARROLLO AGROPECUARIO REGION DE AISEN DEL GENERAL CARLOS IBAÑEZ DEL,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40040833-0,MEJORAMIENTO E INSTALACIÃ¿N DE LUMINARIAS LED SECTOR RURAL,icare_0137,ENERGIA,CURACAVI,PERFIL,,121.0,121.0,,CLP_millions,,33000.0,MUNICIPALIDAD DE CURACAVI,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40040749-0,EQUIPAMIENTO SISTEMA VALORIZACIÓN Y DISMINUCIÓN DE RESIDUOS SÓLIDOS DOMICILIARIO,icare_0122,RECURSOS NATURALES Y MEDIO AMBIENTE,LONQUIMAY,PERFIL,,241.0,241.0,,CLP_millions,,4000.0,MUNICIPALIDAD DE LONQUIMAY,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
40045781-0,"TRANSFERENCIA CASA SOLAR SOCIAL, REGIÓN DE ANTOFAGASTA",icare_0012,ENERGIA,ANTOFAGASTA,PERFIL,,4210.0,4210.0,,CLP_millions,3.0,1500.0,SEREMI DE ENERGIA REGION DE ANTOFAGASTA,strong,cl-ssg/cl-ssg-projects (canonical: cl-mdsfam/cl-bip-projects),1,"Route B — public investment (SNI/BIP: city formulates, draws FNDR/Sectorial/Municipal)"
